subject,material_slug,current_node_slug,verdict,node_slug,evidence
BIOLOGY,bio-fj-32-population-research-application,细胞呼吸原理的应用,REBIND,种群研究的应用,材料讲调查种群密度与年龄结构保护濒危动物、中等强度捕捞可持续高产、降低环境容纳量防治鼠害；现挂节点边界只讲细胞呼吸原理在粮食储存与果蔬保鲜中的应用；候选节点边界正是保护要提高环境容纳量、防治要降低环境容纳量
BIOLOGY,ext-bio-ccd0d00ddf-004b,细胞增殖,REBIND,无丝分裂,材料是纯无丝分裂专述（无纺锤体和染色体变化、核缢裂过程、蛙的红细胞、DNA 仍复制并平均分配）；现挂节点边界只在「细胞增殖的方式」里顺带提到无丝分裂；候选节点边界正是无丝分裂与哺乳动物成熟红细胞不分裂的辨析且已收同题材料
CHEMISTRY,chem-hj-jianjixing-yu-suanxing,键的极性和分子的极性,REBIND,键的极性对羧酸酸性的影响,材料专讲羟基极性越大越易电离出氢离子、烷基推电子使酸性减弱；现挂节点主体是极性键与极性分子概念（羧酸酸性只写成附带的延伸内容）；候选节点边界正是基于诱导效应且只适用于同类有机酸比较
CHEMISTRY,chem-kb-h2s-properties,na2o2的性质及应用,REBIND,硫化氢的性质,材料讲 H2S 分步电离的二元弱酸性、强还原性与作重金属沉淀剂；现挂节点边界是过氧化钠与二氧化碳和水反应的自身氧化还原与固体增重规律；候选节点边界正是 H2S 与氧气反应产物随量不同与尾气吸收
CHEMISTRY,ext-che-02e43d3aeb-001b,o2作为原电池的正极反应物时-其电极反应在不同的介质中有不同的写法,REBIND,甲烷作燃料电池的负极反应物时-其电极反应式在不同的介质中有不同的写法,材料讲燃料电池电极反应式书写三步法（写总反应、写随介质而变的正极氧还原、用总反应减正极得负极）；现挂节点只收氧气作正极反应物的写法；候选节点是标题同名点且已收同题材料（先写总反应再拆正负极）
CHEMISTRY,ext-che-48262bc853-002,氧化还原反应规律及其应用,REBIND,强弱规律及其应用,材料讲氧化剂氧化性强于氧化产物、还原剂还原性强于还原产物并据此比较强弱与判断反应先后顺序；现挂节点是强生弱、先后、价态三规律合一的桶；候选节点边界正是「强者先反应」要结合氧化剂或还原剂量的多少
CHEMISTRY,ext-che-86a0fcc39c-016,新型化学电源,REBIND,多液电池的分析方法,材料讲多液电池逐室分析（先判正负极、再判各室氧化还是还原、结合离子交换膜判断内电路是否闭合、用三个守恒检验电极反应式）；现挂节点边界限于微生物电池等新型电源的类型与原理；候选节点边界正是离子交换膜限定迁移方向与产物形式
CHEMISTRY,ext-che-cb0f101582-006b,硫酸,REBIND,硫酸的工业制备（接触法）,材料讲接触法制硫酸三步（硫或黄铁矿造气、二氧化硫催化氧化、用 98.3% 浓硫酸吸收三氧化硫）与尾气氨水吸收；现挂节点边界是硫酸性质与硫酸、亚硫酸的易混界限；候选节点边界正是三氧化硫不能用水吸收与尾气处理
PHYSICS,ext-phy-154f35f7e3-002d,三个自由点电荷平衡模型,REBIND,三个自由点电荷的平衡模型,材料讲三点共线、两同夹异、两大夹小及中间电荷到两侧距离比等于电荷量比的平方根；现挂节点与候选节点是同一结论的近重复节点；候选节点这一同名者已收同题材料且边界正是两侧同号、中间异号
PHYSICS,ext-phy-32ce307c34-008,运动的合成与分解,REBIND,合运动与分运动的关系,材料讲合运动与分运动的等时性、独立性与等效性及渡河时间由垂直于河岸的分运动决定；现挂节点边界是平抛运动的分解与小船过河的最短时间和最短位移；候选节点边界正是渡河时间只由垂直分速度决定
PHYSICS,ext-phy-6dcd554e9e-001b,带电粒子在匀强电场中偏转的两个分运动,REBIND,两个重要结论,材料讲经同一加速电场加速再经同一偏转电场时偏移量与偏转角相同、速度反向延长线过水平位移中点；现挂节点边界是沿初速度匀速与沿静电力匀加速两个分运动及其偏移量和偏转角；候选节点名字即带电粒子偏转的两个重要结论且已收同题材料
PHYSICS,ext-phy-9ade384fa8-003b,天上-星球上空距离星体中心r-r-h处的重力加速度为g,REBIND,星体表面与上空的重力加速度,材料同时讲星体表面 g=GM/R²、上空 r=R+h 处 g'=GM/(R+h)² 与用 GM=gR² 反求天体质量；现挂节点只管星球上空那一段；候选节点边界正是 r 是到中心距离而不是高度且随高度平方反比减小
PHYSICS,ext-phy-d0a08f55f3-003,全反射,REBIND,条件-①光从光密介质射入光疏介质-②入射角大于或等于临界角,材料讲全反射的两条发生条件与临界角 sinC=1/n 及折射率越大临界角越小；现挂节点是折射与反射共存的一般点；候选节点名字即全反射的条件与临界角且已收同名同内容材料
PHYSICS,phys-fx-alternating-field-motion,带电粒子在交变电磁场中的运动,REBIND,带电粒子在交变电场中的运动,材料只讲交变电场中粒子运动（单向直线、往返、偏转三类分段分析与力或功能两条思路）；现挂节点边界覆盖交变电场与交变磁场三类组合并含配速法；候选节点是交变电场专点且已收周期性与对称性分段分析的同题材料
PHYSICS,phys-hj-173-resistivity-exp-notes,注意事项-x1,REBIND,测量金属丝电阻率的注意事项,材料讲电阻率实验操作要点（金属丝电阻小用电流表外接法、测有效长度须拉直、直径三处测量取平均）；现挂节点边界是热学实验里注射器封闭气体的质量与温度控制；候选节点边界正是金属丝电阻小与温度升高使电阻率变大
PHYSICS,phys-hj2-tanhuang-shiyan-yuanli-buzhou,探究结果-胡克定律-x为形变量,REBIND,探究弹簧弹力与形变量关系的实验,材料讲实验步骤（竖直悬挂测原长、逐个挂钩码、用弹力与伸长量数据探究 F 与 x 的关系）；现挂节点边界是探究结论（斜率即劲度系数与图像横截距）；候选节点边界正是钩码不可过多与伸长量须等于长度减原长
PHYSICS,phys-kb-newton-second-law,牛顿第二定律的理解-五性,KEEP,,材料讲 F合=ma 的理解与瞬时性、矢量性、同体性、独立性和惯性参考系适用范围；正落在现挂节点（定律的理解与特性）的范围内；候选节点同名只是标题泛指上位概念；前批同类（牛顿第二定律的理解五性）已判保留
