subject,material_slug,current_node_slug,verdict,node_slug,evidence
BIOLOGY,bio-mo-gene-137,人类遗传病,REBIND,遗传病的检测和预防,材料讲禁止近亲结婚与遗传咨询与适龄生育与产前诊断（羊水检查、B超、基因检测）等检测预防手段；现挂节点边界只收人类遗传病的概念与三大类型及五个不一定；候选节点边界正是产前诊断不等同基因检测与禁止近亲结婚只能降低隐性遗传病发病率
CHEMISTRY,chem-fx-dian-jie-jing-lian-tong-f41x11,电解原理应用的四点注意事项,KEEP,,材料即现挂节点第(3)(4)项原文（粗铜阳极泥与Cu2+浓度逐渐减小；电镀时阳极失电子数等于阴极得电子数故电镀液浓度不变）；其中电镀一条被候选节点边界明确划归电镀（纯铜阳极属电镀或电解提纯）故候选收不下全文
CHEMISTRY,chem-hj-qiti-rongyu-jisuan,有关物质的量浓度的计算,REBIND,气体溶于水后溶液浓度的计算,材料专讲气体溶于水求浓度的通式（n=V′/22.4；溶液质量=气体质量+水的质量；溶液体积=质量/密度）并以不能用水的体积代替溶液体积为关键；现挂节点边界只把该计算列为三项之一；候选节点边界即溶液体积必须由溶液质量与密度求出且标况才可除以22.4
CHEMISTRY,ext-che-004850c1e8-013b,硫及其化合物之间的转化规律,KEEP,,材料兼讲同价态之间（SO2与亚硫酸及亚硫酸盐等）的酸碱转化与不同价态之间的氧化还原台阶式升降且强调相邻价态不发生氧化还原反应；现挂节点边界正是价态与类别两个角度的转化规律；候选节点只收不同价态的氧化还原转化（定位为氧化还原反应实验）收不下同价态部分
CHEMISTRY,ext-che-20d30e5ba6-003,化学反应速率及其计算,REBIND,化学反应速率的计算方法,材料给公式法（v=Δc/Δt）与速率之比等于计量数之比与三段式法并含转化率与产率的求法；候选节点边界逐条即定义式与速率之比与三段式；现挂节点边界自述与图像信息结合求速率且明言区别于三段式计算速率
CHEMISTRY,ext-che-6bf2e64662-016,硫酸,REBIND,硫酸的工业制备（接触法）,材料通篇三步接触法（硫铁矿或硫燃烧制SO2与SO2催化氧化与SO3吸水）与用98.3%浓硫酸吸收SO3防酸雾的原因；候选节点边界即SO3不能用水吸收与SO2必须净化与尾气用碱液吸收；现挂节点是硫酸性质与工业制备的总节点而制备只是其主要方面之一
CHEMISTRY,ext-che-b4cc61c65b-008,常见阴离子的检验与推断依据,REBIND,硫酸根离子的检验,材料专讲SO42−检验操作（先加稀盐酸排除CO32−与SO32−与Ag+再加BaCl2看白色沉淀）与干扰排除；候选节点边界即硫酸根检验的酸化禁忌（不能用硝酸或Ba(NO3)2以免SO32−被氧化造成假阳性）；现挂节点是覆盖多种阴离子的通用检验节点并把硫酸根只列为其中一项
CHEMISTRY,ext-che-e8e221ed0f-006b,有机化合物中的共价键,REBIND,键的极性对羧酸酸性的影响,材料专讲键的极性影响羧酸酸性的机制（羧基中羟基极性越大越易电离出H+）与两条规律（吸电子基增强与烃基推电子减弱）；候选节点边界即该规律基于诱导效应且只适用于同类有机酸之间比较；现挂节点以σ键π键与反应活性为主并把羧酸酸性作为附带讨论
PHYSICS,ext-phy-206fb04353-105,变压器,REBIND,探究变压器原副线圈电压与匝数的关系,材料是探究实验（用可拆变压器测量不同匝数下的U1与U2并列表比较）与误差说明（漏磁与线圈电阻使实测电压比偏小）；候选节点边界即必须铁芯闭合与只用交流电压挡与实测电压比略大于匝数比；现挂节点讲工作原理与理想关系不含实验操作与误差
PHYSICS,ext-phy-59dd10c06b-004,静摩擦力,REBIND,静摩擦力有无及方向的判断方法,材料逐条给条件法与假设法（假设光滑看是否相对滑动）与状态法（列平衡方程或F合=ma）与转换对象法；候选节点边界即三种方法的结论必须一致与相对是相对接触物体；现挂节点是含概念与大小随外力变化范围的静摩擦力总节点
PHYSICS,ext-phy-83dd6313b9-001b,库仑定律,REBIND,库仑力作用下的平衡问题,材料讲库仑力参与下的共点力平衡解题思路（受力分析后按平衡条件列方程并与库仑定律联立）与库仑力随距离变化须重新计算；候选节点边界即静电力是矢量须规定正方向与电荷量可能重新分配；现挂节点讲的是库仑定律本身的内容与适用条件
PHYSICS,ext-phy-b7fee3d991-003c,万有引力定律的应用,REBIND,万有引力与重力的关系,材料讲万有引力分解为重力与随自转向心力（赤道向心力最大重力最小与两极重力最大）与黄金代换与表面及上空及内部三处重力加速度；候选节点边界即只有考虑自转时赤道两极才不同与表面GMm/R2=mg；现挂节点讲天体运动应用与星球瓦解及黑洞
PHYSICS,ext-phy-eaffbd3f7f-008,力的分解,REBIND,力的正交分解法,材料专讲正交分解法（沿两个互相垂直方向分解与以少分解力便于分解为原则并与效果分解作比较）；候选节点边界即坐标轴必须互相垂直与分量须带符号且同一个力不能重复计入；现挂节点是含效果分解与正交分解两种方法的总节点
PHYSICS,phys-fx-voltage-half-bias-method,电压表-电流表的改装,REBIND,电压半偏法测电压表内阻,材料讲电压半偏法步骤（先满偏再串电阻箱至半偏读R0）与成立条件与测量值偏大且与电流半偏法误差方向相反；候选节点边界即R1远小于RV是前提与电阻箱应从零开始；现挂节点只讲表头改装原理与两表改装对比
PHYSICS,phys-hj2-dianlu-dongtai-fenxi,平行板电容器的动态分析问题的两种情况,REBIND,电路动态分析的方法,材料讲滑片移动与开关通断引起的电路动态分析（程序法链路与串反并同结论法与极限法）；候选节点边界即串反并同须电源内阻不为零与程序法每一步要明确总电流变化方向；现挂节点讲的是平行板电容器的电容与场强随板距板正对面积的动态分析
PHYSICS,phys-hj3-incline-circular-motion,平抛运动的临界问题,REBIND,斜面上圆周运动的临界问题,材料讲斜面上圆周运动按控制因素分摩擦力与杆与绳型并分析最高点最低点受力与立体图转平面图；候选节点边界即沿斜面与垂直斜面分量的向心力方程与临界位置须结合转动方向判断；现挂节点讲平抛的障碍物与坑洞临界
PHYSICS,phys-mo-l14-projectile-b-2,竖直上抛运动的处理方法,REBIND,斜抛运动,材料讲斜抛运动的定义与性质（加速度为g的匀变速曲线运动与水平方向匀速竖直方向上抛或下抛）以及平抛与斜抛同为匀变速曲线运动；候选节点边界即只受重力是前提与最高点竖直分速度为零水平分速度不变；现挂节点讲竖直上抛的两段处理与多解性
