subject,material_slug,current_node_slug,verdict,node_slug,evidence
BIOLOGY,bio-kb3-f2-s2-5-n01,遗传信息的翻译,REBIND,核酸是遗传信息的携带者,材料只讲核酸分DNA与RNA两类及真核细胞DNA主要分布在细胞核与线粒体叶绿体、原核生物DNA在拟核；现挂节点边界限于翻译的场所模板与密码子特性 不含核酸的种类与分布；候选节点同名且边界即DNA分布与病毒只含一种核酸 并已挂「核酸的种类及其分布」材料；同批 bio-kb3-f2-s2-5-n05 与 bio-fj-04-nucleic-acid-function 已同向改绑
BIOLOGY,ext-bio-f49eeec233-007,人类遗传病,REBIND,调查人群中的遗传病,材料讲发病率须在群体中随机抽样且样本足够大、遗传方式须在患者家系调查并绘系谱图与调查过程四步；现挂节点边界只收人类遗传病的概念与三大类型及五个不一定；候选节点同名且边界正是两种调查的对象与目的不能混淆；同批 bio-fj-17-genetic-disease-survey 与 ext-bio-e3a300b276-010c 已同向改绑
CHEMISTRY,chem-hj-liusuan-gen-jianyan,常见阳离子的检验与推断依据,REBIND,硫酸根离子的检验,材料专讲SO42-检验（先加足量稀盐酸排除CO32-与SO32-与Ag+干扰再加BaCl2看白色沉淀）；现挂节点是阳离子检验节点且边界明说不涉及混合体系中干扰离子的系统排除；候选节点同名且边界即不能用硝酸酸化以免SO32-被氧化造成假阳性；同批 ext-che-b4cc61c65b-008 与 ext-che-813727c8d6-002 已同向改绑
CHEMISTRY,chem-kb-molecular-chirality,有机化合物中碳原子的成键特点,REBIND,分子的手性,材料讲手性异构与手性分子的定义及手性碳原子须连四个不同的原子或原子团；现挂节点边界限于碳原子的成键数目与键的类型与碳骨架分类 并明说不涉及具体有机分子的空间构型；候选节点同名且边界即手性碳判断（饱和碳sp3与四个基团互不相同）
CHEMISTRY,ext-che-144a906566-003,晶胞,REBIND,晶胞参数与晶体密度的计算,材料讲用切割法求晶胞微粒数Z后由密度等于Z乘M比NA乘a³求晶胞参数与单位换算及空间利用率与原子半径关系；现挂节点边界明说范围限于晶胞的基本认识 不含晶胞中粒子数目的计算；候选节点同名且边界即均摊后的粒子数与单位必须换算成cm
CHEMISTRY,ext-che-4aca25a694-016,氧化还原滴定,REBIND,氧化还原滴定的原理与指示剂,材料讲电子守恒原理与常用试剂与三类指示剂（氧化还原指示剂与碘量法淀粉与KMnO4自身指示剂）及酸性条件控制；现挂节点边界只落在电子守恒列式与自身指示剂；候选节点同名且边界正是介质条件与淀粉指示剂只能在碘量法中使用；同标题材料 ext-che-c3ab790e04-021d 已同向改绑
CHEMISTRY,ext-che-a13e903c71-021c,硒和碲及其化合物的性质,KEEP,,材料边界与现挂节点边界逐字同文（同族自上而下非金属性减弱与SeO2、TeO2氧化性强于SO2与两性氧化物判据）且材料讲的正是这些；候选节点「硒、碲及其化合物的性质」与现挂同题近重复（名称仅差顿号）属节点合并而非错绑
CHEMISTRY,ext-che-d28ff8e706-004,试纸的使用方法,REBIND,试纸的类型与使用方法,材料首段即三类试纸（石蕊与pH与淀粉碘化钾）及各自作用 标题即候选节点名；候选节点边界讲检验气体先润湿与pH试纸不能润湿且只能读整数；现挂节点名只覆盖使用方法 收不下材料中的试纸类型部分
PHYSICS,ext-phy-202a7903f4-006c,实验基础知识,REBIND,探究小车速度随时间变化的规律,材料讲本实验器材与过程（小车停在靠近打点计时器处与先接通电源后释放小车与换纸带重复三次）；现挂「实验基础知识」是收各实验材料的上位桶节点（边界只写到国际单位制）；候选节点同名且边界即本实验的释放位置与器材取舍；同批 ext-phy-f42dc02f15-009 已从该桶节点改绑到同名节点
PHYSICS,ext-phy-3a86d307ab-004,天上-星球上空距离星体中心r-r-h处的重力加速度为g,REBIND,星体表面与上空的重力加速度,材料讲表面g=GM/R²与高空g'=GM/(R+h)²与比例关系与黄金代换与球壳与内部深度；现挂节点边界只是「得。所以式中g为地球表面附近重力加速度」的残句；候选节点同名且边界即r是到星体中心的距离与g随高度增大而减小 并已挂三条同题材料
