subject,material_slug,node_slug,confidence,evidence
BIOLOGY,bio-closed-chamber-area-sign-convention,测定光合速率与呼吸速率的常用方法,medium,材料讲密闭容器CO2浓度曲线中积累量按下降段面积减上升段面积计算并要先确认纵轴含义；服务光合与呼吸速率的测定方法（同类开放与密闭情境材料已归此节点）
BIOLOGY,bio-fj-02-main-basic-core-element,细胞中的元素,medium,材料讲主要元素与基本元素与最基本元素的层级划分；同一第02讲讲义的元素划分材料已归此节点
BIOLOGY,bio-fj-07-solute-cannot-pass,渗透作用,high,材料讲溶质不能通过半透膜时水净流向高浓度一侧与液面变化；属渗透作用
BIOLOGY,bio-fj-15-artificial-cross-pollination,人工异花传粉的操作流程,high,材料讲去雄套袋人工授粉再套袋的流程与花蕾期去雄要点；与节点同名同义
BIOLOGY,bio-fj-33-ecotone-edge-effect,群落的结构,medium,材料讲生态交错区与边缘效应的成因；属群落水平结构相关考点
BIOLOGY,bio-fx-hypothalamus-pituitary-control,下丘脑的功能,medium,材料用阻断血液联系的减法原理实验证明垂体活动受下丘脑控制；服务下丘脑对垂体的调控
BIOLOGY,bio-fx-sterilization-methods,无菌技术,high,材料讲灼烧灭菌与干热灭菌与高压蒸汽灭菌的适用对象；属无菌技术中的灭菌方法
BIOLOGY,bio-kb-fehling-vs-biuret-reagents,实验-检测生物组织中的糖类-脂肪和蛋白质,high,材料比较斐林试剂与双缩脲试剂的成分浓度用法与原理；该节点别名即斐林试剂与双缩脲试剂的对比辨析
BIOLOGY,bio-kb2-10-light-compensation-saturation,影响光合作用强度的环境因素,high,材料讲光补偿点与光饱和点定义及光照强度曲线分析；即光照强度对光合作用强度的影响
BIOLOGY,bio-kb3-f4-s15-n02,核酸是遗传信息的携带者,medium,材料讲真核细胞中DNA主要分布在细胞核而线粒体叶绿体含少量DNA且RNA主要在细胞质；属核酸的种类及分布内容
BIOLOGY,bio-nadp-deficient-electron-to-o2,光系统与电子传递链,medium,材料讲光反应电子传递链末端NADP+不足时电子传给O2生成超氧自由基；与已有光抑制材料同归电子传递链
BIOLOGY,bio-rna-interference-therapy-design,基因的表达,medium,材料讲用circRNA竞争miRNA或导入miRNA类似物来上调与下调目标蛋白；属基因表达调控内容（与已有miRNA沉默材料同节点）
CHEMISTRY,chem-fx-bo-li-bang-f05x06,配制一定物质的量浓度溶液的仪器与容量瓶使用,medium,材料讲玻璃棒在溶液配制中的搅拌与引流作用及注意点；属配制溶液的仪器使用规范
CHEMISTRY,chem-fx-di-jia-an-shui-hou-f33x09,配合物,high,材料讲铜离子与过量氨水生成深蓝色四氨合铜离子溶液并加乙醇析出晶体；属配合物的形成
CHEMISTRY,chem-fx-fang-sheng-jian-f41x04,惰性电极电解的四种类型,medium,材料讲NaCl与KCl溶液电解的放H2生碱型电极反应与总反应式；即惰性电极电解四类型中的放氢生碱型
CHEMISTRY,chem-fx-jie-jing-cao-zuo-f67x04,结晶方法的选择与操作,medium,材料讲蒸发结晶与降温结晶与重结晶等结晶操作；与节点结晶方法的选择与操作一致
CHEMISTRY,chem-fx-ruo-an-yuan-bi-li-tong-bei-shu-di-zeng-f45x06,化学平衡移动方向和转化率的判断,medium,材料讲按原比例同倍数改变A与B浓度等效于压缩容器体积并据此判断转化率；同讲相邻条目已归此节点
CHEMISTRY,chem-fx-tong-si-biao-mian-huan-man-fang-chu-qi-f25x07,硝酸与金属反应的规律,medium,材料描述铜丝与硝酸反应的红棕色气体与液面下降现象序列；属硝酸与金属反应
CHEMISTRY,chem-fx-yi-er-chun-f60x06,醇的结构和性质,low,材料只讲乙二醇的物理性质与用途而未涉及化学性质；只能勉强归入醇的结构和性质
CHEMISTRY,chem-fx-zhu-yao-yong-tu-f13x04,na2co3-nahco3的应用,high,材料讲碳酸钠用于制玻璃与肥皂而碳酸氢钠用于灭火器与发酵粉；即Na2CO3与NaHCO3的应用
CHEMISTRY,chem-kb-electrometallurgy,电冶金,high,材料讲电解熔融NaCl炼钠与电解熔融Al2O3炼铝；与节点电冶金同名同义
MATH,math-folding-plane-vs-solid-processing,对折叠与展开问题认识不清致误,low,材料讲翻折问题把不变关系放在平面图处理把变化关系放在立体图处理；节点表中仅此一条折叠相关节点
MATH,math-hj-hanshu-moxing-zengzhang,函数模型与增长速度的比较,high,材料比较直线上升与指数增长与对数增长三类模型的差异；与节点同名同义
MATH,math-hj-wudianfa-zhengxianleixing,函数y-asin-ωx-φ-的图象,high,材料讲用五点法画y=Asin(ωx+φ)一个周期的简图；属该函数图象的作图方法
MATH,math-mo-fanjie-dairu-xiaoyuan,双变量问题的题型与解法,medium,材料讲由条件方程反解出变量代入目标把双变量化为单变量函数求最值；属双变量问题的解法
MATH,math-mo-yinhan-tiaojian-huizong-gailv,离散型随机变量,low,材料讲用概率和为1与随机变量取非负整数等隐藏约束求分布列参数（另含直方图面积和为1）；只部分对应
PHYSICS,phys-cyclotron-max-kinetic-energy,回旋加速器,high,材料推导回旋加速器最大动能Ekm=q²B²R²/2m；属回旋加速器考点
PHYSICS,phys-hj-151-capacitance-definition,电容,high,材料讲电容定义式C=Q/U与单位换算及电容由电容器本身构造决定；与节点电容同名
PHYSICS,phys-hj3-meter-reading-three-notes,电表的使用与量程选择,high,材料讲电表量程选择与最小分度为1与2与5三种情形的估读规则；与节点同名
PHYSICS,phys-quanfanli-f-chuizhi-zuixiao-lali,全反力与摩擦角,high,材料讲把支持力与摩擦力合成为全反力以简化四力平衡并求最小拉力；属全反力与摩擦角方法
