subject,material_slug,node_slug,confidence,evidence
BIOLOGY,bio-cotransporter-electrochemical-gradient,主动运输的类型,high,材料讲协同转运蛋白借H+/Na+电化学梯度间接耗能转运；属主动运输的具体类型
BIOLOGY,bio-fj-02-water-ratio-metabolism,细胞中的水,high,材料讲自由水与结合水比值对代谢与抗逆性的影响；是细胞内水的核心考点
BIOLOGY,bio-fj-08-enzyme-reusability,酶的作用和本质,medium,材料讲酶可重复利用（催化作用）又可作底物被水解验证化学本质；对应酶的作用和本质
BIOLOGY,bio-fj-19-blender-centrifuge-purpose,噬菌体侵染细菌实验,high,材料讲该实验中搅拌与离心的目的及上清液与沉淀物的放射性分布
BIOLOGY,bio-fj-33-soil-animal-richness-experiment,研究土壤中小动物类群的丰富度,high,材料讲土壤小动物丰富度的取样器取样与记名计算法统计；节点名完全对应
BIOLOGY,bio-fx-judge-aldosterone-sodium,水和无机盐平衡的调节,high,材料讲血钠升高时醛固酮分泌减少以调节Na+重吸收；属水盐平衡调节
BIOLOGY,bio-fx-variable-change,对照实验设计的四步模板,medium,材料讲探究温度与pH等无法加减的自变量用换法设置梯度并保证单一变量；属对照实验设计要点
BIOLOGY,bio-kb-neuron-and-glia-cells,神经调节的结构基础,high,材料讲神经元与神经胶质细胞的数量功能；属神经调节的结构基础中的组成细胞
BIOLOGY,bio-kb2-15-homozygote-judgement,纯合子与杂合子的判断,high,材料讲自交法与测交法鉴定纯合子和杂合子；节点名完全对应
BIOLOGY,bio-kb3-f4-s28-n06,物理模型的构建方法,medium,材料讲制作模型的实施过程与分工、修补缺陷与交流评价；属物理模型构建方法
BIOLOGY,bio-photoinhibition-excess-light-damage,光合作用的影响因素,medium,材料讲强光下光能过剩损伤光系统I和II使光合速率下降；属光照强度对光合作用的影响
BIOLOGY,bio-selfing-homozygote-ratio,自交和自由交配的概率计算,medium,材料讲连续自交n代杂合子比例降至趋于0的纯合化计算；属自交概率计算
CHEMISTRY,chem-fx-chang-kao-jing-dian-shi-ji-cai-liao-gu-f73x16,常考经典史籍中的化学知识,high,材料归纳《抱朴子》与《本草纲目》等经典史籍中的化学知识；节点名完全对应
CHEMISTRY,chem-fx-duan-shao-han-liu-liang-gao-de-kuang-w-f24x04,硫及其化合物之间的转化规律,medium,材料出自硫及其化合物的相互转化一讲；讲煅烧含硫矿物经途径转化为化合物的流程
CHEMISTRY,chem-fx-gai-jin-de-mu-f28x12,气体制备,medium,材料讲气体发生装置改进目的与固液类装置创新；属常见气体的实验室制备
CHEMISTRY,chem-fx-liang-yuan-su-shou-heng-f52x04,溶液中粒子等量关系-三大守恒,high,材料讲NaHCO3溶液的元素守恒式与质子守恒定义；属溶液中粒子等量关系的三大守恒
CHEMISTRY,chem-fx-shi-pin-dai-nei-de-gan-zao-ji-f73x04,食品的保护与食品袋中的干燥剂,high,材料讲食品袋内干燥剂（生石灰与硅胶等）选择及SO2抗氧化剂；节点名完全对应
CHEMISTRY,chem-fx-wei-zhi-yi-gou-f02x10,同分异构现象和同分异构体,high,材料讲位置异构即官能团位置不同这一同分异构类型并举例
CHEMISTRY,chem-fx-yi-wen-du-ji-de-shui-yin-qiu-zai-zheng-f67x02,蒸馏,high,材料讲蒸馏操作要点：温度计水银球位置与沸石防暴沸及冷凝水方向
CHEMISTRY,chem-gas-washing-points,干燥管与洗气瓶的作用,medium,材料讲洗气瓶的试剂选择与长进短出操作；属干燥管与洗气瓶的使用要点
CHEMISTRY,chem-textbook-methane-structure,甲烷,high,材料讲甲烷正四面体结构、键角109°28′与二氯代物只有一种
MATH,math-fx-pingfenxian-jiao-xingshi,角平分线定理,medium,材料讲角平分线条件的余弦形式（在两小三角形中用余弦定理建边关系）；属角平分线问题处理方法
MATH,math-hj-pinlv-zhitu-fang-fenbu,频率分布直方图,high,材料讲直方图中小长方形高为频率/组距且面积和为1；节点名完全对应
MATH,math-hj-zhiyiqiuer,同角三角函数的基本关系,high,材料讲sinα±cosα与sinαcosα互化的知一求二变形；属同角三角函数基本关系的应用
MATH,math-mo-jiemian-jiaoxian-zuofa,空间几何体中的截面问题,high,材料讲作截面的平行线法与延长线法及作交线方法；节点名完全对应
MATH,math-mo-ziji-qiucan-kongji-shunxu,利用集合间的关系求参数,medium,材料讲由子集关系求参须按空集到自身顺序讨论；属利用集合间关系求参数
PHYSICS,phys-fx-calculation-answer-standards,计算题答题规范,high,材料讲计算题文字说明与方程结合、写原始公式分步列式、结果带单位；节点名完全对应
PHYSICS,phys-hj2-feizixing-it-tuxiang-yichu,伏安特性曲线,medium,材料讲线性与非线性元件的I-U图线特征及该点电阻U/I计算；属伏安特性曲线
PHYSICS,phys-isothermal-partition-formula,变质量问题的处理思想-等效,medium,材料讲等温分态公式p1V1加p2V2等于pV处理气体混合与分离；属变质量气体问题的处理
PHYSICS,phys-tp-quantum-catastrophe-classical,能量子,medium,材料讲紫外灾难与普朗克能量子假说开启能量量子化；属能量子与量子论诞生
