subject,material_slug,node_slug,confidence,evidence
BIOLOGY,bio-diurnal-start-light-compensation-crossing,一昼夜CO2浓度变化曲线,high,材料讲一昼夜曲线光照出现即开始光合且与横轴交点为光补偿；该节点别名即「密闭环境中CO2浓度变化曲线」且同讲一昼夜曲线的关键点判读
BIOLOGY,bio-fj-03-glucose-fuel,细胞中的糖类,high,材料讲葡萄糖是细胞生命活动的主要能源物质且属单糖可静脉注射；该节点别名含「糖类是主要能源物质」「细胞中的糖类·单糖」
BIOLOGY,bio-fj-08-gastric-pepsin-small-intestine,酶的作用,medium,材料讲胃蛋白酶最适pH为1.5而小肠pH约7.6使其失活；该节点边界明确含pH等条件对酶活性的影响且别名即「pH对酶活性的影响」
BIOLOGY,bio-fj-20-base-pair-rule-1-purine-pyrimidine,DNA分子中碱基数量关系,high,材料讲双链DNA碱基互补配对故A=T、C=G、嘌呤总数等于嘧啶总数；节点即DNA分子中碱基数量关系
BIOLOGY,bio-fj-33-vertical-layering-plants-reason,群落的结构,high,材料讲植物垂直分层与对光的利用；该节点即群落的垂直结构（分层现象）且别名含「森林群落的分层现象」
BIOLOGY,bio-fx-judge-organ-transplant-hla,免疫学的应用,high,材料讲器官移植只要求主要HLA一半以上相同且移植后需用免疫抑制剂；该节点边界原文即「供者和受者的主要HLA一半以上相同」
BIOLOGY,bio-hormone-experiment-controls,生命活动调节实验的设计要点,high,材料讲激素实验用等量生理盐水作空白对照并做前后自身对照；该节点边界即「空白对照组注射生理盐水而不是蒸馏水」
BIOLOGY,bio-kb-polysaccharide-types-functions,细胞中的糖类,high,材料讲淀粉、纤维素、糖原、几丁质的分布与功能；该节点别名含「常见的多糖」「细胞中的糖类·多糖」
BIOLOGY,bio-kb2-26-blood-sugar-source-sink,胰岛素,low,材料讲血糖的来源与去向；本学科只有胰岛素节点带别名「血糖平衡的调节」与该主题同源故勉强归此
BIOLOGY,bio-kb3-f4-s34-n03,胞吞,medium,材料讲胞吞与胞吐的共同特点（耗能、需膜上蛋白识别、依赖膜的流动性）；胞吞节点边界含两种方式的区分且别名即「胞吞与胞吐运输的物质不都是大分子」
BIOLOGY,bio-photoprotection-heat-dissipation,影响光合作用强度的环境因素,high,材料讲热耗散过剩光能的光保护防御防线；该节点别名即「光抑制与光保护机制」「光能的去向与减轻光抑制的途径」
BIOLOGY,bio-selfing-n-phenotype-ratio,自交和自由交配的概率计算,high,材料给连续自交n代表现型比公式；该节点别名含「连续自交与连续自由交配的概率计算」「杂合子连续自交与逐代淘汰的计算」
CHEMISTRY,chem-fx-chen-dian-fa-f14x06,纯碱中碳酸钠含量的测定方法,high,材料即沉淀法测纯碱中碳酸钠含量（由BaCO3沉淀质量换算）；该节点别名即「纯碱中碳酸钠含量的测定（气体法与沉淀法）」
CHEMISTRY,chem-fx-duo-yuan-ruo-jian-fen-bu-dian-li-f08x05,电离方程式的-易错点,high,材料讲多元弱碱分步电离但通常一步写出并给出Fe(OH)3电离式；该节点别名即「多元弱酸与多元弱碱电离方程式的书写」
CHEMISTRY,chem-fx-gao-wen-jie-gou-f18x05,陶瓷,high,材料讲高温结构陶瓷与氮化硅陶瓷用于汽轮机叶片、轴承等；该节点别名即「新型陶瓷的种类与用途」且范围涵盖新型陶瓷
CHEMISTRY,chem-fx-mao-xi-guan-lian-tong-da-qi-f74x09,蒸馏,medium,材料讲减压蒸馏中毛细管连通大气防暴沸与减压降低沸点；属蒸馏装置与操作要点（防暴沸的安全设错点另属安全性节点）
CHEMISTRY,chem-fx-shi-yan-jie-shu-hou-f20x03,cl2的实验室制法,high,材料讲氯气制取实验结束后先停止反应排出残留氯气再拆卸并用NaOH吸收尾气；该节点边界即含收集与尾气吸收且限本实验操作
CHEMISTRY,chem-fx-wo-guo-li-zheng-yu-nian-qian-zuo-dao-t-f44x10,碳中和,medium,材料以2030年碳达峰与2060年碳中和及CH4与CO2重整开题；该节点即碳中和的含义与实现途径（材料本身是题目背景故不给high）
CHEMISTRY,chem-fx-yi-zhi-f55x03,解沉淀溶解平衡图像题的三步骤,high,材料给对数型沉淀溶解曲线中pM越大且曲线上方为不饱和溶液；该节点别名即「对数型沉淀溶解曲线（pC图像）的分析」并讲点在上方判饱和
CHEMISTRY,chem-hj-fenya-fenyadinglv,压强平衡常数,medium,材料讲分压定义与分压定律（总压等于各分压之和）；该节点边界即某气体分压等于总压强乘其物质的量分数
MATH,math-bundling-method,捆绑法与插空法,high,材料即捆绑法处理相邻问题的四步；与节点同名同源（狂K重难点46·捆绑法与插空法）
MATH,math-fx-qicishi-huaqie,齐次式与切弦互化,medium,材料讲弦的齐次式同除cos的相应次幂化切与用1的代换配齐次；节点即齐次式与切弦互化（另有近义节点齐次式的处理）
MATH,math-hj-s109-at-least-prob,概率的基本性质,high,材料用对立事件求至少型概率即1减去一个都没有的概率；该节点边界含对立事件概率公式
MATH,math-insertion-space-method,捆绑法与插空法,high,材料即插空法处理不相邻问题；与节点同名同源（狂K重难点46·捆绑法与插空法）
MATH,math-mo-lagelangri-zhongzhi,拉格朗日中值定理,high,材料即拉格朗日中值定理的内容与几何意义；与节点同名
MATH,math-nonuniform-grouping-formula,分组分配问题,medium,材料给各组人数两两不等时的逐组连乘分组公式；属分组分配的四类分法与除序（另有均匀分组节点专讲均匀除序）
PHYSICS,phys-fx-exclusion-method-selection,排除法,high,材料即选择题的排除法（排除须有物理依据不能凭感觉）；该节点别名即「选择题的排除法」
PHYSICS,phys-hj2-oumbiao-cezu-buzhou,多用电表测电阻,high,材料讲欧姆挡测电阻的步骤与换挡须重新调零、读数乘倍率；该节点边界即欧姆表刻度不均匀只能粗测与换挡调零
PHYSICS,phys-kb-compton-effect-particle,康普顿效应,high,材料讲康普顿效应散射光波长变大并证明光具有动量；该节点别名即「光子动量与康普顿效应的解释」
PHYSICS,phys-zhengjiao-jian-zhou-yuan-ze,正交分解法,high,材料讲建系要尽量多的力落在坐标轴上；该节点别名即「正交分解法建立坐标轴的原则」「正交分解法的步骤与建系原则」
