subject,material_slug,current_node_slug,verdict,node_slug,evidence
BIOLOGY,bio-fj-17-genetic-disease-survey,人类遗传病,REBIND,调查人群中的遗传病,材料通篇讲遗传病调查方法（发病率要在人群中随机抽样并给出计算公式；遗传方式要在患者家系中调查）；候选节点边界正是「发病率必须在人群中随机取样…调查遗传方式必须在患者家系中进行」；现挂节点边界收的是人类遗传病的概念与三大类型
BIOLOGY,ext-bio-94a83ecf21-003,免疫失调,REBIND,自身免疫病与免疫缺陷病,材料分两部分讲自身免疫病（攻击自身成分；风湿性心脏病机理）与免疫缺陷病（功能不足或缺乏；先天性/获得性；艾滋病）；候选节点边界「自身免疫病针对自身成分、免疫缺陷病是免疫功能不足」与材料逐句对应；现挂节点边界是三类免疫失调的总述且HIV环节已另有材料
CHEMISTRY,chem-hj-f113-jita-jifata-guangpu,元素周期表与原子结构的规律,REBIND,基态、激发态与原子光谱,材料讲基态与激发态跃迁、发射光谱与吸收光谱、特征谱线用于光谱分析（含焰色试验与霓虹灯）；候选节点边界正是「基态到激发态吸收能量对应吸收光谱…光谱分析用于鉴定元素种类」；现挂节点边界只收电子排布与化合价规律
CHEMISTRY,chem-kb-ground-excited-state-spectrum,元素周期表与原子结构的规律,REBIND,基态、激发态与原子光谱,材料讲基态原子吸收能量跃迁为激发态、原子光谱与光谱分析（特征谱线鉴定元素）；候选节点边界「基态到激发态吸收能量对应吸收光谱…光谱分析用于鉴定元素种类」完全对应；现挂节点边界只收电子排布与化合价规律、不含跃迁与光谱
CHEMISTRY,ext-che-020cba294a-021,氧化还原反应规律及其应用,REBIND,先后规律及其应用,材料通篇只讲先后规律（多种还原剂或氧化剂共存时按强弱依次反应）与常见强弱顺序；候选节点名即「先后规律及其应用」且边界要求「强者优先…氧化性与还原性顺序不能记混」；现挂节点虽在边界里并列三大规律但材料并不讲强弱规律与价态规律
CHEMISTRY,ext-che-309fd84b7e-004b,核反应方程的分析,REBIND,核反应方程的分析思路,材料讲质量数守恒与电荷数守恒两条并据此推断未知微粒（碳14 β衰变示例）；候选节点边界「守恒的对象是质量数与电荷数…判断元素种类只看质子数」与材料对应；材料标题与候选节点名逐字相同
CHEMISTRY,ext-che-822771fccd-005b,装置气密性检查方法,REBIND,装置气密性的检查方法,材料并列给出微热法、液差法、滴液法、抽气吹气法四种检查方法与静置观察要点；候选节点边界「描述现象必须写清是否形成稳定液柱…检查气密性必须在加入试剂之前」与之对应且该节点已收四条同类材料；现挂节点只剩这一条材料、其边界与材料边界逐字相同属近重复节点
CHEMISTRY,ext-che-c940c45b21-002b,乙烯,REBIND,乙烯的实验室制法,材料是实验室制乙烯全流程（乙醇与浓硫酸体积比约1比3、170℃、温度计插入反应液、SO2杂质的生成与除去）；候选节点边界「温度计测的是反应液的温度…检验性质前必须先用碱液除去SO2」与材料要点重合；现挂「乙烯」是烯烃结构与性质节点、边界只把制法列为附注
PHYSICS,ext-phy-0f258d43a9-013,热力学图像问题,REBIND,气体状态变化图像的分析方法,材料按点、线、斜率、面积四层讲气体状态变化图像的分析并提醒不同图像常量意义不同；候选节点名与边界（比较压强体积看状态点到原点连线的斜率；求功必须用p-V图像面积）与材料一致；现挂节点是章内热力学图像题节点、把该分析法列为补充
PHYSICS,ext-phy-2b63d7a05b-010,滑块-木板模型的临界问题,REBIND,滑块-木板模型,材料讲滑块-木板模型通法（未滑离与滑离两种情形分别列动量守恒与能量守恒、滑离条件是相对位移等于板长、提分关键三条）；候选节点名与材料标题逐字相同且边界收「板长与滑块位移混为一谈…判断是否滑落」等模型通法；现挂节点偏重临界问题一类
