subject,material_slug,current_node_slug,verdict,node_slug,evidence
BIOLOGY,bio-mo-cell-064,核酸,KEEP,,材料是生物《第2章 组成细胞的分子（背诵版）》里「生物体内各种物质的元素组成」（纤维素/脂肪/磷脂/酶/DNA/RNA/ATP）；现挂「核酸」定位即第二章「核酸是遗传信息的携带者」一节并收核酸的元素组成；候选边界讲6∶3∶1计算与双缩脲、二苯胺检测及分布，与元素组成不对口
CHEMISTRY,chem-fx-di-ding-fen-xi-fa-f70x03,连续型离子方程式的书写-分类分析法,REBIND,滴定分析法,材料讲滴定分析法定义（标准液滴加至按化学计量反应完全、由消耗体积算含量）与指示剂确定终点；现挂「连续型离子方程式的书写」只收连续反应型离子方程式；候选边界正是滴定终点、读数与误差分析
CHEMISTRY,chem-hj-na2o2-qiangyanghuaxing,过氧化钠,REBIND,na22,材料通篇讲Na2O2的强氧化性与还原性（SO2/FeCl2/H2S/酚酞褪色、遇KMnO4氧化产物为O2、与CO2和H2O自身歧化、1 mol转移1 mol电子）；候选节点名即材料标题且边界逐条对应；现挂「过氧化钠」是该化合物总节点（水与二氧化碳反应、过氧结构与碱性氧化物辨析、漂白性比较）
CHEMISTRY,chem-mo-youji-jiegou-biaoshifangfa,有机物的结构可用键线式表示-如,REBIND,有机物结构的表示方法,材料并列最简式/结构式/结构简式/键线式/球棍模型/空间填充模型六种表示法及其规范；现挂「键线式」边界只收键线式一种（由键线式写分子式并分析同分异构体）；候选边界正对表示方法规范（端点拐点都算碳、结构简式不可省双键三键符号）
CHEMISTRY,ext-che-1e9a37df8e-012b,羧酸的结构和性质,REBIND,键的极性对羧酸酸性的影响,材料讲羧酸酸性由羧基中羟基极性决定（吸电子基增强酸性、烃基推电子削弱、甲酸强于乙酸强于丙酸）；候选节点名即材料标题且边界写明该规律基于诱导效应、只适用同类有机酸；现挂「羧酸的结构和性质」是羧酸结构-性质关系总节点（还含醇酚羧酸羟基氢活泼性比较等）
CHEMISTRY,ext-che-5fce0adee9-011,常见阳离子的检验与推断依据,REBIND,离子推断的四项基本原则,材料讲肯定性/互斥性/电中性/进出性四原则（含由酸性碱性、指示剂颜色、与铝放H2等隐含条件否定离子、并排除试剂引入的干扰）；现挂边界明言范围限于由反应产物判断阳离子是否存在、不涉及混合体系中干扰离子的系统排除；候选边界即不确定离子不能判为不存在、先排除干扰、结论须合电中性
CHEMISTRY,ext-che-aa83e6fece-004,物质的分类,REBIND,对下列物质分类-并完善表格内容,材料讲交叉分类法（多标准、同种物质可属多类）与树状分类法（同一标准逐级、各层为包含关系）的定义与标准统一；候选节点名即材料标题且已收 5 条同题材料；现挂「物质的分类」声明的范围是物质类别的划分与常见俗名对应、未含两种分类方法
CHEMISTRY,ext-che-e5ccf9cc1e-020,有机物分子结构的确定,REBIND,有机物分子结构的鉴定方法,材料含化学法鉴定官能团、红外光谱给化学键与官能团、核磁共振氢谱给氢的种类与数目比、X射线衍射测键长键角四项；现挂边界只收红外与氢谱两项；候选边界明列红外只给种类不能给数目与位置、氢谱只反映氢环境、最终确认常需X射线衍射
PHYSICS,ext-phy-206fb04353-086d,比结合能,REBIND,核能的计算方法,材料给出核能计算的三种方法（ΔE=Δmc²、质量亏损原子质量单位数×931.5 MeV、比结合能之差）与吸放能判断；候选边界正对质量亏损须由反应前后质量相减、用931.5 MeV时Δm须以u为单位；现挂「比结合能」边界是比结合能的定义、曲线与稳定性关系
PHYSICS,ext-phy-59dd10c06b-001c,弹力,REBIND,弹力有无的判断方法,材料给条件法/假设法/状态法/替换法四种判断弹力有无的方法及适用情形；候选节点名即材料标题且边界正是这四种方法的要点（不能只看是否接触、假设法要针对同一点同一状态、状态法先明确运动状态）；现挂「弹力」是含产生条件与方向大小的总节点
PHYSICS,ext-phy-83aaecb372-004b,波粒二象性,REBIND,光的波粒二象性,材料给波动性证据（干涉衍射偏振）、粒子性证据（光电效应康普顿效应）与波粒二象性及概率波、使用要点；候选边界逐条对应（干涉衍射偏振证明波动性、光电效应康普顿效应说明粒子性）；现挂「波粒二象性」边界与候选节点为同一知识点的近重复节点
PHYSICS,ext-phy-b2defc754e-005,等效替代法,REBIND,替代法测电阻,材料讲用电阻箱替换待测电阻、滑动变阻器阻值不变、电表读数相同时电阻箱读数即待测阻值及其无电表内阻系统误差的优点；候选边界正对替代前后电路必须不变、两次读数须完全一致；现挂「等效替代法」是跨实验的总方法节点（力的合成、动量守恒用位移替代速度等）
PHYSICS,ext-phy-e7ae1dda3f-018,变压器,REBIND,探究变压器电压与匝数关系的实验,材料是探究变压器电压与匝数关系的实验（目的/原理/器材/步骤/结论/误差分析/注意事项）；候选节点名即材料标题且边界正是必须交流电源、断电改接匝数、漏磁致电压比偏离匝数比；现挂「变压器」边界讲工作原理与理想变压器电压匝数关系及互感器、自耦变压器
PHYSICS,phys-fx-power-average-instantaneous,平均速度与瞬时速度的区别,REBIND,平均功率与瞬时功率,材料讲平均功率用P=W/t（对恒力变力做功均适用）与瞬时功率用P=Fvcosα并强调先明确是哪个力的功率；候选边界正对求瞬时功率不能用W/t、比较功率要抓力与速度方向的夹角；现挂节点的边界与材料（功率）无关
