subject,slug,field,status,evidence
CHEMISTRY,ext-che-1422ee20c2-007b,contentMarkdown,FIXED,两处 \1 均为 pH：同块同标题的干净副本（.agent_b_bchem_4.csv 的实验操作与条件控制的目的叙述模板 行）与本字段逐字对齐 只有这两处差异；该副本作「调节溶液 pH」与「控温、控 pH、分批加料」；同材料标题与摘要也用 pH（正文用「调节溶液 pH」而非 LaTeX 变量）
CHEMISTRY,ext-che-1422ee20c2-013,contentMarkdown,WIDER_FIX,3 处 \1 依次为 m / Zn / O（同块同标题干净副本 .agent_b_bchem_4.csv 逐字对齐 除这 3 处外逐字全等）；该字段 $ 共 45 个（奇数）⇒ shell 把 $名 连名字一起吃掉 27 处 需要补回被吃掉的正文（定界符 + 变量名/数字） 逐处按同页源块（extracted_chunks 的 c98b47befb-018：碱式碳酸锌 2ZnCO3·3Zn(OH)2·2H2O 摩尔质量 583 g/mol、350 ℃ 剩余 423 g、583-423=160=2×44+18x ⇒ x=4 mol H2O；0160cf76f9-020：固体残留率＝m余÷m起始×100%）与本文算术自洽（583-36=547 ⇒ 残留率 547/583；124-88=36=2 mol H2O；n(Zn)=5 ⇒ 325 g 且 405-325=80 g ⇒ n(O)=5 ⇒ 1:1）逐处补回：$1→1 mol；$2→2ZnCO3·3Zn(OH)2·2H2O；$5→583 g 与 547/583；$3→36 g 与 350 ℃ 与 325 g；$2→2 mol H2O/CO2/Zn(OH)2；$8→88 g；$1→100 ℃ 与 124 g；$4→405 g 与 4ZnO·Zn(OH)2；$n→n(Zn)/n(O)；$m_→m_{金属}；$n_→n_{金属原子}（45→72 偶数）；其余文字一字未改 27 处补入的正文已逐处标注
CHEMISTRY,ext-che-1422ee20c2-013,boundaryMarkdown,FIXED,字段 $ 共 3 个（奇数）⇒ 缺 1 个定界符；把 $ 补在「失」之前得到唯一完整式子 $失=m_起始\times$ 残留率 与同材料 content 第 3 条「失 = m_起始\times$ 固体残留率」同式；只补了 1 个 $ 未增删任何正文（已用结构比对逐字复核）
CHEMISTRY,ext-che-1422ee20c2-054b,contentMarkdown,FIXED,4 处依次为 L / L / c / c（同块同标题干净副本 .agent_b_bchem_4x.csv 逐字对齐）⇒ $c_0\ \mathrm{mol\cdot L^{-1}}$（两处单位里的 L）与 $\cdot c(\mathrm{A^-})$、$\cdot c_0\alpha$（分子里的 c）；与同材料 summary 的 $c(\mathrm{H^+})$、boundary 的 $c_0(1-\alpha)$ 一致
CHEMISTRY,ext-che-1422ee20c2-067c,boundaryMarkdown,FIXED,该处 \1 = mol（同块同标题干净副本 .agent_b_bchem_4x.csv 逐字对齐）⇒ $18\ \mathrm{g\cdot mol^{-1}}$；与同材料 content 的 $\dfrac{m_1-m_2}{18}\ \mathrm{mol}$ 单位一致
CHEMISTRY,ext-che-84d5c92111-002b,contentMarkdown,FIXED,14 处依次为 K n n H H H K H H H a b K K（同块同标题干净副本 .agent_t2_03.csv 逐字对齐）⇒ $K_{正}\cdot K_{逆}=1$、缩小 n 倍/原来的 n 次方、$\Delta H_3=\Delta H_1+\Delta H_2$、$K_1\cdot K_2$、$K_1^{\ a}/K_2^{\ b}$、吸热反应的 K 增大/放热反应的 K 减小；与同字段已有的 $K'=K^n$、$K_3=K_1/K_2$ 及源块「△H3」「K3＝」一致
CHEMISTRY,ext-che-e1f44db337-028b,contentMarkdown,FIXED,7 处依次为 NaCl / NaCl / c / a / NaCl / c / b（同块同标题干净副本 .agent_b_bchem_2.csv 逐字对齐）：减小溶液中 NaCl 的浓度、起始 NaCl 浓度、从 c 点向 a 点、NaBr 与 NaCl 的浓度相同、从 c 点向 b 点；与同字段前段 Ksp 计算（c 点=滴定终点）与 Ksp 比较段的用词一致
MATH,ext-mat-221256755a-009,contentMarkdown,FIXED,两处依次为 y / m（同块同标题干净副本 .agent_b_bmath_4.csv 逐字对齐）：要让每个 y 都有 3 个解、$\dfrac{5\pi}{4}\le m<\dfrac{17\pi}{12}$；与同字段上文 $y\in[0，\dfrac{\sqrt{3}}{2}]$、$\beta\in[0，m]$ 的记号一致
MATH,ext-mat-9346e3d003-008,contentMarkdown,FIXED,该处 \1 = y（同块同标题干净副本 .agent_mp_27.csv 逐字对齐）⇒ $\begin{cases}x=a+r\cos\theta\\ y=b+r\sin\theta\end{cases}$；与同材料 summary「圆心加半径与正弦余弦的乘积」及源块（人教A版选择性必修一 P89T10 圆的参数方程）一致
MATH,ext-mat-a56cce28f2-006,contentMarkdown,FIXED,该处 \1 = n（同块同标题干净副本 .agent_b_bmath_4.csv 逐字对齐）⇒ $a_n\ge n+1$（由 $a_{n+1}=a_n(a_n+1)>a_n+1$ 递推比较大小）；与同材料 boundary 用 $a_n$ 的记号一致
