subject,material_slug,node_slug,confidence,evidence
BIOLOGY,bio-exp-dependent-variable-measurement,对照实验设计的四步模板,high,材料讲实验设计中因变量如何观测与测量（观测指标与检测方法）；与已绑的同源「自变量操纵」材料同属实验设计的基本程序与要素书写
BIOLOGY,bio-fj-03-sugar-classification,细胞中的糖类,high,材料讲糖类分单糖二糖多糖且二糖多糖须水解为单糖才能被细胞吸收；节点已收「糖类的元素组成与分类」「细胞中糖类的元素组成分类与分布」
BIOLOGY,bio-fj-10-circular-chromatography-colors,捕获光能的色素和结构,medium,材料讲圆形滤纸层析出现四种色素同心圆及由内向外的顺序与扩散快慢；属色素提取与分离实验的变式
BIOLOGY,bio-fj-23-isolation-types,隔离在物种形成中的作用,high,材料讲隔离的概念及地理隔离与生殖隔离两种类型；该节点即隔离在物种形成中的作用
BIOLOGY,bio-fx-disinfection-methods,无菌技术,high,材料讲煮沸巴氏化学药剂紫外线等消毒方法与对象；节点已收「无菌技术（消毒与灭菌）」与「无菌技术的四项要点」
BIOLOGY,bio-fx-nitrogen-cycle,物质循环,high,材料讲氮循环的固氮氨化硝化反硝化四个环节与对应微生物类群；节点已收「磷循环的特点与限制因素」同类元素循环材料
BIOLOGY,bio-info-extraction-curve,坐标图类信息题的变量分析,high,材料讲曲线图先看横纵坐标轴与单位再判变化趋势后比交点拐点平台；节点已收「坐标图信息分析先定变量」与「双纵坐标曲线图的读图方法」
BIOLOGY,bio-kb2-02-elements-classification,细胞中的元素,medium,材料讲大量元素与微量元素按含量区分而非按重要性且二者都是必需元素；节点已收「大量元素与微量元素的辨析」
BIOLOGY,bio-kb2-28-pd1-immune-escape,免疫系统的组成和功能,high,材料讲肿瘤细胞过量表达PD-L1与活化T细胞的PD-1结合以逃避免疫攻击；节点已收同源的「肿瘤免疫逃逸」材料
BIOLOGY,bio-kb3-f5-s5-1-n08,酶的特性,medium,材料讲过酸过碱或温度过高破坏酶的空间结构而永久失活且低温下结构稳定；属酶的作用条件较温和与失活条件
BIOLOGY,bio-primer-self-complement-hairpin,pcr技术,high,材料讲引物自身不能有连续4个及以上碱基互补以免形成发卡结构；节点已收「PCR引物的特点与设计原则」
BIOLOGY,bio-textbook-cloning-human-ethics,转基因生物的安全性,medium,材料讲中国政府禁止生殖性克隆人并有条件支持治疗性克隆；该节点实收选必3第4章生物技术与伦理材料（生殖性克隆与设计试管婴儿）
CHEMISTRY,chem-fx-chu-za-si-yuan-ze-he-si-zhu-yi-f74x12,在实验操作②中为什么依次加入的试剂都要略微过量-实验操作④中加入盐酸的目的是什么,high,材料讲除杂的不增不减易分易复原四原则与四注意；节点已收「除杂的四原则与三必须」「除杂试剂的两条核心原则」
CHEMISTRY,chem-fx-entry-f74x13,氯的常见氧化物,medium,材料讲Cl2O与水反应生成HClO及其在CCl4中的溶解度远大于在水中；节点已收「氯的常见氧化物 ClO2 与 Cl2O」
CHEMISTRY,chem-fx-hong-te-gui-ze-f29x08,原子核外电子排布,high,材料讲洪特规则及能量相同的轨道全充满半充满全空时体系能量最低（以基态24Cr排布式为例）；节点已收「核外电子排布的三条规律与洪特规则特例」
CHEMISTRY,chem-fx-pei-wei-yuan-zi-f78x03,配位键,medium,材料讲配位原子是配体中提供孤对电子的原子；属配位键的形成条件这一要点
CHEMISTRY,chem-fx-shu-ji-ji-ben-mo-xing-f02x13,有机化合物的共面共线的判断,high,材料熟记烯平面羰基平面苯平面与炔直线等基本模型及对应杂化；同讲相邻片段「直线与平面连接」已绑该节点
CHEMISTRY,chem-fx-xing-cheng-yuan-yin-f33x01,分子的极性,high,材料讲极性分子的形成原因是正负电荷重心不重合；同讲相邻片段「ABn型分子极性判断」已绑分子的极性
CHEMISTRY,chem-fx-you-yu-neng-gou-zai-zhong-ran-shao-f17x09,镁的化学性质,medium,材料讲Mg能在CO2中燃烧故镁着火不能用干冰与泡沫灭火器；节点已收「镁燃烧的特点与灭火注意事项」
CHEMISTRY,chem-hj-shang-shangbian-gainian,熵和熵变的含义,high,材料讲熵是衡量体系混乱度的物理量及S(g)>S(l)>S(s)与熵变计算；节点已收「熵与熵变的含义及大小规律」
MATH,math-fangshuo-1bijin2-xiaoyu-n2jian1,裂项放缩,high,材料给出1/n²<1/(n²−1)放缩为两项之差再裂项相消的结论；该节点边界原文引用了同一不等式
MATH,math-fx-you-zhouqi-duishibiao,函数的周期性,high,材料由f(x+a)=f(x-a)与变号型和积型等条件式直接读周期；节点已收「常见的周期性结论」
MATH,math-hj-s65-sum-group,分组-并项-法求数列的前n项和,high,材料讲通项为等差±等比或分段结构时分组分别求和再相加；同讲同源材料已绑该节点
MATH,math-isomorphic-sum-difference-model,同构法,high,材料把e^a±a>b±lnb化为同构式并构造x±lnx或e^x±x；节点已收多份同构法材料
MATH,math-mo-sina-erfenzhiyi-shuangjie,三角形解的个数判断,high,材料讲sinA=1/2可得两个角解须按限制条件验证取舍；节点已收「正弦定理判定三角形解的个数」
MATH,math-shulie-fangshuo-bufen-fangshuo,数列不等式的放缩,medium,材料讲只对数列部分项放缩（舍弃部分项或把部分项取为1）；属数列不等式的放缩技巧
PHYSICS,phys-hall-voltage-formula,霍尔元件,high,材料推霍尔电压U=kBI/d与霍尔系数k=1/nq；节点已收「霍尔元件的原理与霍尔电压」
PHYSICS,phys-hj3-boat-crossing-model,小船渡河模型,high,材料讲小船渡河最短时间与最短位移两类极值问题；节点已收多份小船渡河模型材料
PHYSICS,phys-mo-l01-motion-description-b,质点,high,材料讲质点的定义与能否视为质点的条件；节点已收「质点与理想化模型」「质点与看成质点的条件」
