subject,material_slug,node_slug,confidence,evidence
BIOLOGY,bio-exp-control-types,对照实验的分析方法,high,材料讲空白对照与条件对照与相互对照与自身对照四类的区分及选择依据；该节点别名已含四类对照实验的区分
BIOLOGY,bio-fj-03-sudan-stains-fat-only,实验-检测生物组织中的糖类-脂肪和蛋白质,high,材料讲脂质中只有脂肪能被苏丹Ⅲ染成橘黄色而磷脂不显此反应；属脂肪检测实验的试剂特异性
BIOLOGY,bio-fj-10-chlorophyll-a-b-absorption-bands,捕获光能的色素和结构,medium,材料讲叶绿素a与b在红光与蓝紫光区吸收带的波长位置与宽窄差异；属捕获光能的色素及其吸收光谱
BIOLOGY,bio-fj-23-darwin-limitation,自然选择,medium,材料讲达尔文学说不能解释遗传变异本质且局限于个体水平与渐变式物种形成；达尔文学说即自然选择学说
BIOLOGY,bio-fx-counting-formula,微生物的培养,medium,材料讲稀释涂布平板法活菌计数公式与只统计30-300菌落平板并设对照；属微生物培养中的计数与数据处理
BIOLOGY,bio-fx-monosome-trisome-location,基因位置的判断方法,high,材料讲用单体三体缺体杂交测交把基因定位到某条染色体；该节点别名即三体定位法判断基因所在染色体
BIOLOGY,bio-info-extraction-bar-chart,坐标图类信息题的变量分析,high,材料讲柱状图给出各实验组的自变量与因变量并可由柱值差获取组间差异；属坐标图类信息题的变量分析
BIOLOGY,bio-kb-water-18o-irrigation-judgment,同位素标记法,medium,材料用H2(18)O浇灌植物追踪18O在空气水蒸气与O2与CO2中的去向；属同位素示踪类判断
BIOLOGY,bio-kb2-28-b-cell-activation,体液免疫,high,材料讲B细胞活化的两个信号（抗原接触与辅助性T细胞表面分子变化）及细胞因子的作用；属体液免疫
BIOLOGY,bio-kb3-f5-s5-1-n04,酶的作用和本质,medium,材料讲酶的来源与催化作用及作用原理降低活化能与本质为蛋白质或RNA及合成原料场所；对应酶的作用和本质
BIOLOGY,bio-primer-pair-complement-dimer,pcr技术,high,材料讲两种引物之间不能有连续4个及以上碱基互补以防引物二聚体；引物设计是PCR技术的核心要点
BIOLOGY,bio-textbook-biological-weapons-ban,NONE,low,节点表无生物安全与伦理类节点；禁止生物武器公约与转基因生物的安全性并非同一考点
CHEMISTRY,chem-fx-chu-za-si-yuan-ze-f67x06,在实验操作②中为什么依次加入的试剂都要略微过量-实验操作④中加入盐酸的目的是什么,medium,材料讲除杂四原则（不增不减易分离易复原）；该节点即除杂原则与试剂作用分析（同讲除杂原则材料同绑此节点）
CHEMISTRY,chem-fx-entry-f58x03,同分异构体,low,材料给出通式CnH2nO2对应的饱和一元羧酸和酯与羟基醛等类别；用于同分异构体的书写与类别判断
CHEMISTRY,chem-fx-he-xin-fan-ying-f56x01,陌生化学方程式的书写方法,medium,材料讲化工流程中按箭头指向定反应物与生成物并据氧化还原规律判断产物与配平的陌生方程式书写
CHEMISTRY,chem-fx-pei-wei-shu-f78x05,配合物,high,材料讲配合物中配位数的定义与[Cu(NH3)4]2+与[Fe(CN)6]4-等实例；同考点配离子与颜色材料均绑配合物
CHEMISTRY,chem-fx-shi-zheng-tu-ran-zeng-da-f47x02,v-t图像分析改变条件对化学平衡的影响,high,材料讲t1时v正突然增大而v逆逐渐增大使平衡正移对应增大反应物浓度；即v-t图像分析改变条件对平衡的影响
CHEMISTRY,chem-fx-xing-cheng-tiao-jian-f80x01,大π键,high,材料讲形成离域π键的三个条件（原子共面或共线且中心原子sp2或sp杂化与平行p轨道与电子数小于两倍轨道数）；即大π键的成键条件
CHEMISTRY,chem-fx-you-shi-wei-jian-hua-zhuang-zhi-f22x09,检验so2和co2同时存在的一般流程,medium,材料讲把除去SO2与检验SO2是否除尽合并为一个装置用较浓酸性KMnO4；属SO2与CO2共存检验流程中的除尽检查
CHEMISTRY,chem-hj-nengceng-nengji-rongna,能层,low,材料讲能层序数等于所含能级数与s与p与d与f能级最多容纳电子数及每层最多2n2；属能层能级的容纳规律
MATH,math-fangshuo-1bijin2-xiaoyu-4nfjian1,裂项放缩,high,材料把1/n²放大为4/(4n²−1)再裂项为2(1/(2n−1)−1/(2n+1))；同族1/n²放缩结论均绑裂项放缩
MATH,math-fx-tonggou-fa-sanmoxing,同构法,high,材料给指对同构的积型与商型与e^x±x三大模型并借同一函数单调性脱壳；正是同构法
MATH,math-hj-s45-five-points,三角函数的图象与性质,high,材料给正弦与余弦在一个周期内的五个关键点及五点法作图；该节点明确涵盖五点法作图
MATH,math-isomorphic-quotient-model-xlnx-eexx,同构法,high,材料把e^a/a<b/lnb化为同构式并构造x/lnx或e^x/x；该节点别名含指对同构的积型商型和差型
MATH,math-mo-shuyu-baohan-bianxi,元素与集合的关系,low,材料辨析∈连接元素与集合而⊆与⊂连接集合与集合的符号层次；服务元素与集合的从属关系辨析
MATH,math-set-line-x-plus-by-plus-c-form,圆的切线方程,medium,材料讲求圆的切线与公切线时设x+by+c=0以免讨论斜率不存在；同重难点36的切线漏解材料亦绑圆的切线方程
PHYSICS,phys-gong-xing-qiao-shi-zhong,对超重和失重的理解应当注意的问题,high,材料讲拱形桥顶mg−FN=mv²/r使支持力小于重力处于失重；同重难点的拱形桥与凹形桥材料均绑该节点
PHYSICS,phys-hj3-anti-reflection-coating-flatness,薄膜干涉的应用,high,材料讲增透膜厚度取膜中波长四分之一与用条纹弯曲检测平面平整度；即薄膜干涉的两个典型应用
PHYSICS,phys-kb-vernier-micrometer-reading,必备实验仪器的原理及使用,medium,材料讲游标卡尺不估读与螺旋测微器须估读一位的读数规则；同源讲义螺旋测微器读数材料均绑必备实验仪器的原理及使用
