subject,slug,field,status,evidence
CHEMISTRY,ext-che-1422ee20c2-001c,contentMarkdown,WIDER_FIX,该材料无干净上游副本（cffda989^ 与现 HEAD 逐字相同；.agent_b_bchem_4.csv 第29行同 chunk 1422ee20c2-001 同标题行同样损坏；判定表同错）故按损坏规律回填被 shell 吃掉的 7 处「$ + 后一位字符」：4 处 $1（不超过／接近且小于／温度在／接近或超过 后的 100 ℃）与 2 处 $*（两处加粗 ** 的首星）与 1 处 $9（如 98 ℃）；「98 ℃」逐字取自源页图 build/render/bchem/p0374.jpg（五三B版化学专题十二 p1 原文「但接近且小于 100 ℃时应选用油浴，如 98 ℃时应选油浴」）；回填逐处与页图核对；修后 $ 12 个成 6 对且 \1 为 0
CHEMISTRY,ext-che-1422ee20c2-001c,boundaryMarkdown,WIDER_FIX,同样无干净上游副本（cffda989^ 与 HEAD 逐字相同）故按同规律回填 1 处 $1（「温度明显低于 $100\ ^{\circ}\mathrm{C}$」处）；原 5 个 $ 全为闭界符（1 个）说明开界符随 $1 被吃掉；源页图 p0374.jpg 同页写「不超过 100 ℃的实验，可使用水浴加热」佐证 100 ℃ 写法；修后 $ 2 个成 1 对
CHEMISTRY,ext-che-2982b3ef36-010,contentMarkdown,FIXED,与引入残迹提交 cffda989 的父提交 923a13db 同字段逐字一致（6 处 \1 在父版本为「 pC」／「 A」／「 mol」）；切片标称位点 184／198／215／224／237／249 与文件内 \1 偏移逐一吻合；回填后 mA(g)+nB(g)\rightleftharpoons pC(g)+qD(g) 与 a mol/L、b mol/L、mx mol/L 与源头切块「mA(g)＋nB(g)pC(g)＋qD(g)」「a mol/L、b mol/L」「mx mol/L」一致
CHEMISTRY,ext-che-7645e88401-034b,contentMarkdown,FIXED,与 cffda989 父提交同字段逐字一致（142→「 M」；155→「 N」）；切片位点 142／155 吻合；回填后 \rho=\dfrac{N\times M}{a^3\times N_A} 与同字段对 $N_A$／$N$／$M$ 的定义自洽（密度＝晶胞质量/体积）
CHEMISTRY,ext-che-afd9748dd0-011,contentMarkdown,FIXED,与 cffda989 父提交同字段逐字一致（374→「 L」；409／428→「 pH」）；切片位点 374／409／428 吻合；与源头切块「c(H＋)＝10－7 mol·L－1」「常温时 pH＝7」「100 ℃时 pH＝6」一致
MATH,ext-mat-618a9e5fe2-007,contentMarkdown,FIXED,取自 .agent_mp_22.csv 同 chunk（618a9e5fe2-007）同标题行 content 并逐字一致；82→「 b」（$a=\lambda b$）；185／200→「 y」（$a=(x_1\ y_1)$、$b=(x_2\ y_2)$）；切片位点 82／185／200 吻合；与源头切块「使a＝λb成立」一致
MATH,ext-mat-7c74c864c5-005,contentMarkdown,FIXED,与 cffda989 父提交同字段逐字一致（49→「 BAC」；554→「 m」；589／671／717→「 n」；689／743→「 m」）；切片 7 个位点 49／554／589／671／689／717／743 与文件内 \1 偏移逐一吻合；回填后 \boldsymbol m=\left(0;0;1\right) 与 \boldsymbol n=\left(3\sqrt2;\ 3\sqrt2;\ -2\right) 的使用自洽
MATH,ext-mat-98e813b184-002b,boundaryMarkdown,FIXED,与 cffda989 父提交同字段逐字一致（126 处 \1→「 x」）；切片位点 126 吻合；同字段「第 3 种形式配方后是关于 $\cos x$ 的二次函数」的变量为 x 且与同材料 content 第 3 条的 $\cos x$ 二次函数一致
MATH,ext-mat-9c65092122-002,contentMarkdown,FIXED,取自 .agent_mp_01.csv 同 chunk（9c65092122-002）同标题行 content 并逐字一致（19 处 \1 在 CSV 为「 b」／「 R」与 17 处「 z」）；切片 19 个位点 52／64／82／118／132／176／186／197／226／234／291／301／331／381／410／416／432／438／485 与文件内 \1 偏移逐一吻合；回填后 \bar z 与同字段定义式 $\bar z=a-bi$ 自洽
MATH,math-fx-duichen-sheyuan-fa,summaryMarkdown,FIXED,与 cffda989 父提交同字段逐字一致（13／17／45→「 a」；49→「 aq」）；回填后三数成等差写作 a-d／a／a+d、三数成等比写作 a/q／a／aq 各自成对；与同材料 content 的等差等比设元写法一致
MATH,math-fx-duichen-sheyuan-fa,contentMarkdown,FIXED,与 cffda989 父提交同字段逐字一致（17／21／72／135／141／147→「 a」；76→「 aq」）；切片位点 17／21／72／76／135／141／147 吻合；回填后等差四数设元写作 a-3d／a-d／a+d／a+3d 与第 1 条 a-d／a／a+d 同族
MATH,math-fx-qiannxiang-ji-fa,contentMarkdown,FIXED,与 cffda989 父提交同字段逐字一致（32／62→「 n」；219→「 a」）；切片位点 32／62／219 吻合；回填后 n=1 与 n\ge 2 两行分支及 $\{\ln a_n\}$ 与同材料 summary 的 $a_1=T_1$／$a_n=\dfrac{T_n}{T_{n-1}}$（$n\ge 2$）一致
MATH,math-kb-fractional-inequality-transform,contentMarkdown,FIXED,与 cffda989 父提交同字段逐字一致（36→「 f」；117→「 g」）；切片位点 36／117 吻合；回填后两处均落在分式 $\dfrac{f(x)}{g(x)}$ 的分子分母位置且与同材料 summary「分母不为零」一致
MATH,math-kb-geometric-sum-blocks,summaryMarkdown,FIXED,与 cffda989 父提交同字段逐字一致（6→「 q」；12→「 n」；26／39→「 S」）；切片位点 6／12／26／39 吻合；回填后 q≠−1（或 q=1）且 n 为奇数与三段和式 $S_k$／$S_{2k}-S_k$／$S_{3k}-S_{2k}$ 自洽
MATH,math-kb-geometric-sum-blocks,contentMarkdown,FIXED,与 cffda989 父提交同字段逐字一致（23→「 n」；37／50→「 S」）；切片位点 23／37／50 吻合；回填后公比 $q\ne -1$ 且 n 为奇数与 $q^k$ 及同材料 summary 的三段和式写法一致
PHYSICS,ext-phy-2aea59cfe3-026b,contentMarkdown,FIXED,与 cffda989 父提交同字段逐字一致（173／182→「 V」）；切片位点 173／182 吻合；回填后 0.37 V 与 0.38 V 之间与同字段示数 $0.378\ \text{V}$、量程 $0\sim0.5\ \text{V}$ 的单位一致
PHYSICS,ext-phy-426d81a7eb-002b,contentMarkdown,FIXED,取自 .agent_mp2_32.csv 同 chunk（426d81a7eb-002）同标题行 content 并逐字一致（193／238→「 s」）；切片位点 193／238 吻合；回填后 $h=6.626\times 10^{-34}\ \mathrm{J\cdot s}$ 与源头切块「h＝6.626×10－34 J·s(一般取h＝6.63×10－34 J·s)」一致
PHYSICS,ext-phy-8ee107050a-010,contentMarkdown,FIXED,取自 .agent_mp2_03.csv 同 chunk（8ee107050a-010）同标题行 content 并逐字一致（66／135→「 E」；215→「 eV」；233→「 n」；262→「 eV」）；切片 5 个位点 66／135／215／233／262 吻合；与源头切块「hν＝ΔE」「E外≥ΔE」「13.6 eV电离能」「n＝2能级→电离态」「3.4 eV」一致
PHYSICS,ext-phy-9579268f6f-021,contentMarkdown,FIXED,取自 .agent_mp2_36.csv 同 chunk（9579268f6f-021）同标题行 content 并逐字一致（30→「 K」）；切片位点 30 吻合；回填后「绝对零度即 0 K」与同字段 $-273.15\ ^\circ\mathrm{C}$ 的对应关系自洽；源头切块仅「热力学第三定律：绝对零度不可达到」
PHYSICS,ext-phy-dd27cab1b4-002c,contentMarkdown,FIXED,取自 .agent_mp_01.csv 同 chunk（dd27cab1b4-002）同标题行 content 并逐字一致（74／134／187／225→「 v」；138／158→「 t」）；切片 6 个位点 74／134／138／158／187／225 吻合；回填后 $\bar v=\frac{x}{t}$ 与 $$\bar v=\frac{v_0+v}{2}=v_{\frac{t}{2}}$$ 及 $x=\bar v\  t$ 自洽；源头切块仅「平均速度等于这段时间初末时刻速度矢量和的一半，还等于中间时刻的瞬时速度」
