subject,material_slug,current_node_slug,verdict,node_slug,evidence
BIOLOGY,bio-kb3-f2-s2-5-n05,遗传信息的翻译,REBIND,核酸是遗传信息的携带者,材料只讲核酸是遗传信息携带者及其在遗传变异与蛋白质合成中的作用；现挂节点边界限于翻译的场所模板与密码子特性 不含此内容；候选节点同名且其别名含「核酸的功能」
BIOLOGY,ext-bio-f49eeec233-007b,人类遗传病,REBIND,遗传病的检测和预防,材料讲遗传咨询与产前诊断手段及基因检测与基因治疗；现挂节点人类遗传病只讲概念与三大类型和五个不一定；候选节点同名且边界正讲产前诊断不等同基因检测 基因治疗尚在研究
CHEMISTRY,chem-hj-lizi-tuiduan-siyuanze,电荷守恒在离子推断中的应用,REBIND,离子推断的四项原则,材料按肯定性互斥性电中性进出性四原则推断；现挂节点只讲用电荷守恒判断最后一种离子是否存在；候选节点同名且边界用电中性原则核对电荷守恒并区分操作中引入的离子
CHEMISTRY,chem-kb-three-bleaching-types,过氧化钠,REBIND,三类漂白剂的区别,材料讲氧化型加合型吸附型三类漂白剂的可逆性与选择性；过氧化钠在材料里只是氧化型的一个例子；现挂节点边界限于过氧化钠与水二氧化碳反应及强氧化性；候选节点同名 边界讲褪色是否复原的鉴别依据
CHEMISTRY,ext-che-15fcabc7cf-030,化工流程题的分析模型,REBIND,循环物质的确定方法,材料专讲循环物质的确定方法（生成后又消耗 主线产物不算 母液尾气回收）；现挂节点边界只把「流程中循环使用的物质要单独识别并说明」列为一句提醒；候选节点同名且边界正是前面工序需要与后面工序生成两条件
CHEMISTRY,ext-che-4dd2e79693-049b,晶胞,REBIND,晶胞密度的计算,材料用均摊法求微粒数后用 m=NM/NA 与晶胞体积相除求密度并强调单位换算；现挂节点晶胞边界明确写「范围限于晶胞的基本认识 不含晶胞中粒子数目的计算」；候选节点同名
CHEMISTRY,ext-che-a4f995ac24-002b,乙烯,REBIND,乙烯的实验室制法,材料是乙烯制法单元（乙醇与浓硫酸体积比1:3 沸石 检验前除杂）；候选节点同名且边界逐点吻合（温度偏低增副反应 SO2 干扰须先除杂）；现挂节点乙烯的边界以结构与性质为主 制法只作附带一句
CHEMISTRY,ext-che-d28ff8e706-004b,物质的溶解与加热,KEEP,,材料讲易水解固体溶解不加热 浓硫酸酸入水 管口不对人 液体不超过三分之一；现挂节点边界逐句写的就是这些（FeCl3 AlCl3 不加热 管口不对人 1/3） 即材料正落在现挂声明范围内；候选为同题近重复 属节点合并而非错绑
PHYSICS,ext-phy-206fb04353-053b,带电粒子在组合场-电场与磁场各位于一定的区域内-并不重叠-中的运动,REBIND,电偏转与磁偏转的比较,材料比较电偏转恒力做类平抛与磁偏转变力做匀速圆周的受力与规律；现挂节点讲的是电场磁场分区组合（先电后磁等）的衔接问题；候选节点同名且边界讲两者受力性质不同 不可互相套用
PHYSICS,ext-phy-504a241474-007b,电容器,REBIND,含电容器电路的分析,材料讲拆去电容器看结构 稳态相当于断路 电压等于并联电阻电压 变化时用 ΔQ=CΔU 判充放电电流方向；现挂节点电容器讲器件本身 稳态断路只作与电容相区分的附带一句；候选节点同名且边界讲须先正确求电容器两端电压
PHYSICS,ext-phy-7b8a5ea480-008b,电磁阻尼和电磁驱动,KEEP,,材料讲电磁阻尼阻碍相对运动与电磁驱动追赶磁场 以及楞次定律与能量转化；现挂节点与材料同题 其边界讲的正是相对运动与能量守恒计算 节点内两条材料皆属该题；候选为同名近重复（综合复习） 判据因「和」与「与」之差误报
PHYSICS,ext-phy-af45d1db73-006,平抛运动,REBIND,探究平抛运动特点实验的注意事项,材料讲斜槽末端切线水平 同一位置释放 坐标原点取球心投影三条操作及其对应误差来源；现挂节点边界只讲水平匀速与竖直自由落体的合成与公式推论 实验注意不在其声明内；候选节点同名且边界讲斜槽是否光滑与坐标原点
PHYSICS,ext-phy-e342c3c922-005,圆周运动常见的临界状态,REBIND,斜面上圆周运动的临界问题,材料讲斜面圆盘上物体在最低点摩擦力达最大的临界条件（μmgcosθ−mgsinθ=mω²R）；候选节点同名且边界讲沿斜面与垂直斜面分量的向心力方程与临界位置；现挂节点是绳杆弹力与摩擦临界的一般汇总
PHYSICS,phys-fx-momentum-conservation-procedure,多物体-多过程问题中动量守恒定律的应用,REBIND,应用动量守恒定律的解题步骤,材料给出确定系统 判断守恒 规定正方向写初末动量 列式求解四步；现挂节点讲多物体多过程的分段与反冲 未收解题步骤；候选节点同名且边界讲合外力为零 单一方向守恒与正方向参考系统一
PHYSICS,phys-hj-191-magnetic-field-line-features,波动图象的特点,REBIND,磁感线的特点,材料讲磁感线切线方向为磁场方向 疏密表强弱 闭合不相交；现挂节点波动图象的特点讲波形与质点振动步调及起振方向 与材料完全无关；候选节点同名且边界讲磁感线是假想曲线 相交即方向不唯一
PHYSICS,phys-hj3-composition-nature-judge,定义-物体具有保持原来匀速直线运动状态或静止状态的性质-质量是惯性的唯一量度,REBIND,两个直线运动合运动性质的判断,材料讲分别合成初速度与加速度 按 v合 与 a合 是否共线判断合运动性质；现挂节点惯性讲保持运动状态的性质与质量量度 与材料无关；候选节点同名且边界讲先把分运动整理成初速度与加速度再合成
PHYSICS,phys-mo-l05-three-nature-forces-b,模型示意图,REBIND,力的概念,材料讲力是物体对物体的相互作用且不能脱离施力受力物体 并讲图示与示意图的表示；现挂节点（力的图示与力的示意图）只收表示方法 材料主体是概念；候选节点同名且边界正讲力不能脱离物体而存在
