subject,material_slug,node_slug,confidence,evidence
BIOLOGY,bio-adrenal-cortex-glucocorticoid,激素,medium,材料讲肾上腺皮质分泌糖皮质激素（皮质醇）促进糖异生升血糖并与胰岛素拮抗与胰高血糖素协同；该节点已收录皮质醇分级调节与激素协同拮抗类条目
BIOLOGY,bio-exp-independent-variable-manipulation,对照实验设计的四步模板,high,材料讲实验设计中主动施加自变量并确保自变量唯一；该节点边界明确要求自变量操纵具体到剂量时间方式
BIOLOGY,bio-fj-04-peptide-chain-ends,蛋白质相关计算题,medium,材料给出肽链游离氨基羧基的判断结论（两端各一个其余在R基）；该节点即收录氨基酸与肽链计数类条目
BIOLOGY,bio-fj-10-light-saturation-point,影响光合作用强度的环境因素,high,材料讲光饱和点的含义与限制因素；该节点别名即「光补偿点与光饱和点的分析」
BIOLOGY,bio-fj-24-artificial-uterus-conditions,内环境的稳态,high,材料以人造子宫的羊水成分与温度酸碱度机器胎盘考查内环境成分与理化性质保持相对稳定
BIOLOGY,bio-fx-double-enzyme-cloning,限制酶,high,材料讲双酶切防自身环化与反向连接；该节点边界写明双酶切可提高连接的方向性
BIOLOGY,bio-fx-nucleo-cytoplasmic-sterility,核质互作雄性不育与三系法育种,high,材料与节点同名同样讲核质互作不育与三系配套制种
BIOLOGY,bio-info-extraction-table,坐标图类信息题的变量分析,medium,材料讲表格题先看表头与注再从行列对比找自变量因变量；该节点边界把柱形图与表格的变量分析纳入范围
BIOLOGY,bio-kb2-02-feilin-bisuoshiji-diff,实验-检测生物组织中的糖类-脂肪和蛋白质,high,材料比较斐林试剂与双缩脲试剂的成分用法与原理；该节点别名即「斐林试剂与双缩脲试剂的对比辨析」
BIOLOGY,bio-kb2-29-autoimmune-disease,自身免疫病与免疫缺陷病,high,材料讲自身免疫病的概念实例与治疗；与节点主题一致
BIOLOGY,bio-kb3-f5-s5-1-n09,酶的特性,medium,材料说催化淀粉水解的酶是淀粉酶催化唾液淀粉酶的是蛋白酶；体现酶的专一性而该节点收录酶的专一性条目
BIOLOGY,bio-prokaryote-transcription-translation-coupled,原核细胞和真核细胞,high,材料对比原核无核膜使转录翻译耦联与真核转录翻译时空分隔；该节点已收录同主题材料「原核细胞与真核细胞基因表达的差异」
CHEMISTRY,chem-ag-acidity-parameter,溶液的酸碱性,medium,材料用AG=lg[c(H+)/c(OH-)]判断酸碱性并强调中性时AG=0；该节点讲酸碱性由氢离子与氢氧根浓度相对大小决定
CHEMISTRY,chem-fx-chun-qiang-ji-f64x03,醇的化学性质,high,材料归纳醇羟基与钠反应放氢催化氧化与酯化；即该节点的醇的四类化学性质
CHEMISTRY,chem-fx-entry-f76x03,fe2-fe3-的检验方法,high,材料给出Fe2+用铁氰化钾溶液检验生成蓝色沉淀；属该节点的检验试剂与现象范围
CHEMISTRY,chem-fx-hua-xue-yu-yi-yao-f73x05,化学与医药的常考常识,high,材料讲抗酸药物与医用酒精消毒；该节点边界正是抗酸药不能选强碱与医用酒精使蛋白质变性
CHEMISTRY,chem-fx-pin-hong-rong-ye-f12x12,na22,medium,材料讲Na2O2的强氧化性使品红溶液褪色；属过氧化钠的强氧化性专题（Na2O2的性质及应用边界已声明强氧化性专题另属）
CHEMISTRY,chem-fx-shui-ni-chang-he-ye-jin-chang-chang-yo-f07x15,胶体的性质及应用,high,材料讲水泥厂冶金厂用高压直流电除尘即电泳；属胶体性质在生产生活中的应用
CHEMISTRY,chem-fx-xing-fen-zi-f33x03,分子的极性,high,材料用分子对称性与中心原子孤电子对判断ABn型分子极性；与该节点判断依据一致
CHEMISTRY,chem-fx-yu-re-shui-yu-you-yu-sha-yu-deng-you-d-f65x10,化学实验中的温度控制,high,材料讲浴热（水浴油浴沙浴）的选用与控温优点；该节点边界正是控温方式要与目标温度匹配
CHEMISTRY,chem-hj-suanjian-zhishiji-bianse,酸碱中和滴定指示剂的选择,high,材料给出石蕊酚酞甲基橙的变色范围与强酸滴弱碱选甲基橙等选择规则；与节点主题一致
MATH,math-fangshuo-1bijin2-xiaoyu-nj1,裂项放缩,high,材料即1/n²<1/[n(n−1)]放缩后再裂项的结论；该节点边界原文引用了同一不等式
MATH,math-fx-yuan-xian-chuizhi-guoxin,圆的对称性,medium,材料讲弦的垂直平分线过圆心并可反求圆心；该节点别名含「圆的轴对称与对称轴过圆心」
MATH,math-hj-s65-sum-merge,分组-并项-法求数列的前n项和,high,材料讲(−1)^n型或相邻两项和为定值时两两并项求和；该节点别名即「并项求和法的步骤与要点」
MATH,math-jiao-zhengxian-qici-huaweibian,边角互化,high,材料用正弦定理把角的正弦齐次式化为边再约去2R；该节点别名含「正弦定理边角互化的方向选择」
MATH,math-mo-sipingfanghe-dingli,四平方和定理,high,材料就是拉格朗日四平方和定理的表述与考查方式
MATH,math-sphere-section-track-completeness,空间几何体中的截面问题,high,材料讲球面与几何体表面交线长并先验证轨迹是否完整落在平面图形内；该节点别名含「球面与多面体（圆柱）交线长的求法」
PHYSICS,phys-hj-008-math-analysis-extremum,共点力的平衡临界极值问题-临界条件,high,材料由平衡条件写出函数关系再用二次函数或三角函数求极值；该节点已收录「求解平衡极值问题的数学分析法与物理分析法」
PHYSICS,phys-hj3-bridge-method,电桥法测电阻,high,材料讲灵敏电流计示数为零时电桥平衡条件与调电阻箱的操作
PHYSICS,phys-mo-l01-motion-description-b-3,位移,medium,材料讲位移与路程的定义及大小关系；该节点别名含「位移与路程的区别与联系」且已收录多篇同类材料
