subject,material_slug,current_node_slug,verdict,node_slug,evidence
BIOLOGY,bio-fj-07-factors-affecting-transport,物质出入细胞的方式,REBIND,影响物质跨膜运输的因素,材料讲浓度差与载体数量与氧气与温度如何影响跨膜运输速率（低氧时主动运输速率降但不为零；高氧后因载体限制饱和）；现挂节点边界只收五类物质出入细胞方式的比较与判断方法并明示不涉及各运输的详细分子机制；候选节点边界正是这些速率曲线与供能要点
BIOLOGY,ext-bio-636de2a928-021,分离定律的特殊类型,REBIND,从性遗传与限性遗传,材料通篇只讲从性遗传与限性遗传（公牛母牛斑块表型不同；限性遗传基因只在一种性别表现）并强调基因在常染色体上与伴性遗传不同；现挂节点边界是血型与翅型与角型等特殊类型的基因型表型对照总表；候选节点边界即「基因位于常染色体、表型受性别影响」这一材料主张
CHEMISTRY,chem-hj-cuyan-tichun-shunxu,有关铁及其化合物的除杂,REBIND,粗盐提纯的除杂试剂与顺序,材料讲粗盐提纯用BaCl2与NaOH与Na2CO3依次除SO42-与Mg2+与Ca2+再加盐酸并强调BaCl2必须在Na2CO3之前；现挂节点边界只围绕铁及其化合物的除杂（调pH除铁与铜盐溶液除铁）；候选节点边界正是碳酸钠不能加在氯化钡之前与盐酸必须在过滤之后加入
CHEMISTRY,chem-hj2-yixi-shiyanshi-zhibei,cl2的实验室制法,REBIND,乙烯的实验室制法,材料讲乙醇与浓硫酸在170℃发生消去制乙烯与浓硫酸的双重作用与温度计水银球插入反应液与排水法收集；现挂节点边界是实验室制氯气的完整流程（强氧化剂与浓盐酸与净化除杂与尾气吸收与验满）；候选节点边界正是温度计测反应液温度与温度偏低增大副反应与SO2杂质须先除
CHEMISTRY,ext-che-020cba294a-020,氧化还原反应规律及其应用,REBIND,强弱规律及其应用,材料只讲氧化性还原性强弱规律（取决于得失电子的难易且与数目无关）与其两个应用（判断反应能否发生与判断先后顺序）；现挂节点边界是强生弱与先后与价态三大规律的总纲；候选节点边界即「强者先反应须同时考虑量的多少」
CHEMISTRY,ext-che-309fd84b7e-004,核反应方程的分析,KEEP,,材料讲核反应方程须用质量数守恒与电荷数守恒两条依据列式求解且不能用化学方程式的方法配平；其边界与现挂节点边界同文（只差定位前缀）；候选「核反应方程的分析思路」与之同题近重复；材料讲的正是现挂节点声明的范围
CHEMISTRY,ext-che-813727c8d6-002,常见阴离子的检验与推断依据,REBIND,硫酸根离子的检验,材料只讲SO42-的检验（先加稀盐酸排除CO32-与SO3 2-与Ag+的干扰再加BaCl2且必须用稀盐酸而不是稀硝酸或硫酸）；现挂节点是常见阴离子检验的总表（碳酸根与硫酸根与氢氧根与碘离子）；候选节点边界即不能用硝酸酸化以免SO3 2-被氧化成SO4 2-造成假阳性
CHEMISTRY,ext-che-c3ab790e04-021d,氧化还原滴定,REBIND,氧化还原滴定的原理与指示剂,材料讲氧化还原滴定的原理与常用试剂与三类指示剂（氧化还原指示剂与碘量法的淀粉专用指示剂与KMnO4自身指示剂）与实例；现挂节点边界只落在定量计算按电子守恒列式；候选节点边界正是介质条件与淀粉指示剂只能在碘量法中使用
PHYSICS,ext-phy-0e06a470ac-005,波粒二象性,REBIND,光的波粒二象性,材料讲干涉衍射偏振证明波动性与光电效应说明粒子性与概率波与频率越高粒子性越显著；现挂节点边界只讲个别光子与大量光子的统计表现；候选节点边界逐条列出波动性与粒子性的实验证据与表现（干涉衍射偏振与光电效应康普顿效应）
PHYSICS,ext-phy-2890a8a6ef-010,对超重和失重的理解应当注意的问题,REBIND,超重与失重的判断方法,材料讲从受力与从加速度两个角度判断超重与失重且只取决于加速度方向而与运动方向无关；现挂节点边界侧重重力没有变大变小与视重变化与完全失重时依赖重力的现象消失；候选节点边界即只看加速度方向与斜向加速度取竖直分量投影与完全失重只对应a=g且方向向下
PHYSICS,ext-phy-61d1d14b26-015,用油膜法估测油酸分子的大小实验,KEEP,,材料讲油膜法实验原理D=V/S与溶液配制与测一滴体积与数格法求面积与误差分析；其边界与现挂节点边界同文（只差定位前缀）；候选「用油膜法估测油酸分子的大小」与之同题近重复；材料讲的正是现挂节点声明的范围
PHYSICS,ext-phy-9885683808-001,必备实验仪器的原理及使用,REBIND,螺旋测微器的原理与读数,材料只讲螺旋测微器的螺距0.5mm与可动刻度50等分与0.01mm精确度与读数公式与半毫米刻度线与零点误差；现挂节点边界只是「一、打点计时器」的残句（仪器总表）；候选节点边界即必须看清半毫米刻度线是否露出与可动刻度必须估读一位
PHYSICS,ext-phy-c8d7f6c61f-001,受力分析多力漏力-受力分析方法,REBIND,受力分析的三个技巧,材料讲三个技巧（不把研究对象所受的力与它施加的力混淆与假设法判断弹力摩擦力与转换研究对象用牛顿第三定律）并附一般顺序；现挂节点边界是受力分析的一般步骤与漏力多画力；候选节点边界即假设法只判断力的有无与方向与转换研究对象得到的相互作用力不能同画
PHYSICS,ext-phy-f42dc02f15-009,实验基础知识,REBIND,实物图连接的注意事项,材料讲实物连线顺序（从电源正极按原理图依次单线连接）与导线不交叉与电表量程与正负接线柱与变阻器限流分压接法与连后走一遍电流路径检查；现挂节点是实验基础知识总表（误差与器材选择与操作）；候选节点边界即电表接反指针反偏与变阻器接错失去调节与连线时保持开关断开
