subject,material_slug,current_node_slug,verdict,node_slug,evidence
BIOLOGY,bio-kb2-07-transport-factors,物质出入细胞的方式,REBIND,影响物质跨膜运输的因素,材料逐条给出三类运输的限制因素（自由扩散看浓度梯度；协助扩散还看转运蛋白数量；主动运输看载体种类数量与能量且氧气温度经呼吸供能影响）；现挂节点边界只声明五类出入方式的比较与判断方法并明说不涉及各运输的详细分子机制；同名节点边界正是运输速率限制因素（载体饱和、缺氧低温、无氧呼吸供能）
BIOLOGY,ext-bio-e3a300b276-010c,人类遗传病,REBIND,调查人群中的遗传病,材料通篇讲调查方法（发病率在人群中随机抽样且群体足够大；遗传方式在患者家系调查并绘系谱图；再列调查步骤与对象选择）；现挂节点边界收人类遗传病的概念、三大类型与五个不一定等易错判定；同名节点边界即两种调查的对象与场所不能混淆
CHEMISTRY,chem-hj-jingbao-midu-jisuan,有关物质的量浓度的计算,REBIND,晶胞密度的计算,材料讲晶胞密度公式 ρ=n·M/(NA·a³) 与求 NA、逆用求边长与粒子间距、非立方晶胞按实际体积算；现挂节点边界是溶液的物质的量浓度计算（cB、质量分数、密度作桥梁）与晶胞无关；同名节点边界即代入公式前统一长度到厘米与密度到 g/cm³
CHEMISTRY,chem-kb-ion-exchange-membranes,在浓差电池中-为了限定某些离子的移动-常涉及到-离子交换膜,KEEP,,材料讲常见离子交换膜（阳膜、阴膜、质子膜各自允许通过的离子）与作用（隔离两极区阻止两极物质反应、选择性通过以平衡电荷形成闭合回路）及选择依据是离子的定向移动方向；现挂节点边界第 (1)(2)(3) 项逐条即此内容且作用表述与材料一致；候选节点是同题另建节点（边界另讲膜不改变电极反应、不能只按电荷数判断）
CHEMISTRY,ext-che-043d5a4425-018b,键的极性对化学性质的影响,KEEP,,材料讲羧基中羟基极性越大酸性越强、吸电子基团使酸性增强烃基推电子使酸性减弱并给 CF3COOH 与 CHCl2COOH 等实例、后半讲无机含氧酸酸性随非羟基氧原子数增大而增强；现挂节点边界同时覆盖这两部分（含无机含氧酸比较与 n 值判据）；候选节点边界只限同类有机酸之间的比较、不能推广到酚醇；收不下材料中的无机含氧酸部分
CHEMISTRY,ext-che-48262bc853-003,氧化还原反应规律及其应用,KEEP,,材料只讲价态规律（化合价升降守恒、归中两相靠不相交、歧化中间价变两头）及其应用（判断同种元素能否反应、据化合价定氧化剂还原剂与产物）；现挂节点边界明确把价态规律（归中、相邻价态不反应、歧化）列为三大规律之一并声明用于判断反应能否发生与产物且不涉及配平；材料内容未越出该子项；候选节点边界讲的是同一子规律的易错判定、不构成改绑理由
CHEMISTRY,ext-che-8b4c78b419-006,so检验的易错点,KEEP,,材料讲 SO4^2- 检验的正确操作（先加足量稀盐酸排除 CO3^2-、SO3^2-、Ag+ 干扰再加 BaCl2 观白色沉淀；不能先加 BaCl2 再加酸判断沉淀是否溶解；酸化不能换稀硝酸）；现挂节点边界第 (1)(3) 项正是这两处误判（先加钡盐后加酸会把 Ag+、Pb2+ 现象误判成 SO4；必须用稀盐酸而不能用稀硝酸并排除 Ag+ 干扰）；候选节点是同题另建节点、边界讲的是同一套试剂与顺序禁忌
CHEMISTRY,ext-che-cdf4760f34-003,电解质概念和判断的几个-特殊点,REBIND,强电解质与弱电解质,材料先给强电解质完全电离、弱电解质部分电离（溶液中存在电离平衡）的定义再按周期表记忆常见强酸强碱（即物质类别归属）末段四点注意才涉及概念判定；现挂节点边界只收单质混合物不是电解质、自身电离、强弱按电离程度划分等概念特殊点、不含类别归属与定义；同名节点边界明确包含二者的物质类别归属与电离方程式书写
PHYSICS,ext-phy-1e87c34de3-008b,天上-星球上空距离星体中心r-r-h处的重力加速度为g,REBIND,星体表面与上空的重力加速度,材料兼讲星体表面 g=GM/R²（由中心天体质量与半径共同决定）与上空 g'=GM/(R+h)² 并给出随高度按平方反比减小与联立求天体质量的规律；现挂节点（天上）按其名称与定位只收星球上空 r=R+h 处一个情形且其边界为抽取残句；同名节点边界即表面与上空两式并用 r 表示到球心距离
PHYSICS,ext-phy-3612e63f5b-015,对机械能守恒条件的理解,KEEP,,材料给出机械能守恒的三种情形（只受重力；除重力外其他力不做功或做功代数和为零；只有系统内弹力做功时系统守恒）并强调是系统而非某个物体守恒；现挂节点边界三项与材料逐字对应且同样提醒并非物体的机械能守恒；候选节点（机械能守恒的条件）是同题另建节点、边界只讲只受与只做功之别
