subject,material_slug,current_node_slug,verdict,node_slug,evidence
BIOLOGY,bio-mo-segregation-law-007,基因型-表型的推断,REBIND,表型与基因型的关系,材料三条结论是「基因型决定表型」「基因型相同表型不一定相同（受环境影响）」「表型相同基因型不一定相同」；候选节点边界正是「表型不完全由基因型决定、环境也会影响表型」；现挂节点边界讲的是亲代与子代的正推逆推与3:1、1:1等比例计算、材料无任何推断或比例内容
CHEMISTRY,chem-fx-re-zhong-fen-xi-fa-f01x04,热重分析确定金属化合物的组成,KEEP,,材料定义热重分析法并指明其研究对象为金属含氧酸盐、金属氢氧化物、金属氧化物且一般先失水再分解后氧化；现挂节点边界即收「用热重分析确定金属化合物的组成」并明确涵盖「分步加热中失重的先后顺序」；候选节点边界讲的是1mol基准与金属元素质量守恒等定量计算、材料无计算内容
CHEMISTRY,chem-hj-xinxing-wuji-feijinshu-cailiao,金属材料,REBIND,新型无机非金属材料,材料通篇讲高温结构陶瓷、压电陶瓷、透明陶瓷、超导陶瓷与碳纳米管、石墨烯等新型无机非金属材料；候选节点边界即以碳纳米材料与碳化硅氮化硅的类别判断为内容；现挂节点边界围绕金属材料的类别与用途展开、与材料内容无交集
CHEMISTRY,ext-che-004850c1e8-015b,硫代硫酸钠,KEEP,,材料讲硫代硫酸钠的物理性质、与酸反应生成S与SO2、与碘反应生成连四硫酸钠、与氯气和高锰酸钾的还原性及用途；现挂节点边界即「硫的平均价态＋2；与碘反应生成S4O6²⁻而不过度氧化；与酸反应属自身歧化、产物是S与SO2」逐条对上；候选节点边界同为该物质的性质与碘量法滴定提示、属同题子节点
CHEMISTRY,ext-che-21d2923986-013,陶瓷,REBIND,新型无机非金属材料,材料讲新型陶瓷五类与碳纳米材料（富勒烯、碳纳米管、石墨烯）；候选节点边界即碳纳米材料属碳单质与碳化硅氮化硅属共价晶体的类别判断；现挂节点边界明说「限定在陶瓷材料、不涉及其他无机非金属材料」、收不下材料中的碳纳米材料部分
CHEMISTRY,ext-che-6e5105e0b4-020,物质的量浓度,REBIND,浓度计算的常用方法,材料按「依据定义计算／依据换算公式计算／依据稀释定律计算」三条给出浓度计算方法；候选节点边界逐条就是这三条依据与对应公式；现挂节点边界以物质的量浓度的概念、溶质判断与质量分数溶解度换算为主、未收稀释定律部分
CHEMISTRY,ext-che-c00fa0f1f7-007,核素,REBIND,核反应方程的分析思路,材料讲核反应方程抓质量数守恒与电荷数守恒两条并据此求未知核素（碳14 β衰变示例）；候选节点边界即「守恒的对象是质量数与电荷数」与「判断元素种类只看质子数」；现挂节点边界是核素概念与原子构成、同位素与元素的界限、不涉及核反应方程的列式
CHEMISTRY,ext-che-fa19c9abe5-001b,有关物质的量浓度的计算,REBIND,气体溶于水后溶液浓度的计算,材料专讲气体溶于水求浓度的思路与通式并以「体积必须由溶液质量和密度求出、不能用水体积代替」为关键点；候选节点边界即「溶液体积不能用水与气体体积相加、必须用溶液质量除以密度」；现挂节点边界只把气体溶于水列为三项之一
PHYSICS,ext-phy-206fb04353-106,油膜法估测油酸分子的大小,KEEP,,材料是油膜法测分子大小的原理、V与S的测量与实验步骤；其边界与现挂节点边界逐字同文（理想化模型、纯油酸体积按浓度折算、数格误差、未散开就描线则直径偏大）；候选节点「用油膜法估测油酸分子的大小」与之同题近重复
PHYSICS,ext-phy-5ba7f10b79-019,应用动能定理求解步骤,REBIND,动能定理在多过程问题中的应用,材料全部讲多过程问题：全过程应用的条件与列式注意（重力弹力静电力的功与路径无关、阻力做功等于力乘路程）以及分阶段应用的条件与中间速度；候选节点边界逐条即这些要点；现挂节点边界只把多过程列为注意事项之一
PHYSICS,ext-phy-89752a9c75-013,机械能守恒定律的应用技巧,REBIND,轻弹簧连接系统的机械能守恒,材料讲轻弹簧系统内动能重力势能与弹性势能相互转化而总机械能守恒并给出弹性势能由形变量决定、两端物体速度相同的两点注意；候选节点边界即系统守恒、特殊位置速度关系与形变量；现挂节点边界只写守恒前提的判断
