subject,material_slug,current_node_slug,verdict,node_slug,evidence
BIOLOGY,bio-fj-04-nucleic-acid-function,遗传信息的翻译,REBIND,核酸是遗传信息的携带者,材料讲核酸携带遗传信息并控制生物体的遗传变异和蛋白质的生物合成、每个人的遗传物质有区别故DNA可供嫌疑人信息；属必修1第二章核酸功能点的范围、而现挂「遗传信息的翻译」边界只收翻译的场所模板与密码子特性
BIOLOGY,ext-bio-26746c92ba-128c,种群数量的变化,REBIND,密度制约因素与非密度制约因素,材料通篇讲生物因素多为密度制约因素且有反馈调节作用、非生物因素多为非密度制约因素且作用猛烈并可调节密度制约因素；正对候选节点边界「判断的关键是作用强度是否随种群密度变化」、而现挂「种群数量的变化」边界只收J形与S形增长模型和K值
CHEMISTRY,chem-hj-changjian-liusuyan,过氧化钠的性质与探究,REBIND,常见硫酸盐的性质与用途,材料讲石膏与熟石膏、胆矾及无水硫酸铜检验水、硫酸钡不溶于酸可作钡餐的组成与用途；正对候选节点边界「硫酸钡作钡餐的前提是既不溶于水也不溶于酸」等硫酸盐条目、与现挂「过氧化钠的性质与探究」从化合价分析Na2O2完全无关
CHEMISTRY,chem-hj-youji-jiegou-biaoshi-fangfa,有机物的结构可用键线式表示-如,REBIND,有机物结构的表示方法,材料把分子式、最简式、电子式、结构式、结构简式、键线式、球棍模型与空间填充模型一并介绍；属候选节点「有机物结构的表示方法」的完整范围、而现挂「键线式」节点只收键线式一种表示法及其写分子式与同分异构体分析
CHEMISTRY,ext-che-020cba294a-019,氧化还原反应规律及其应用,REBIND,价态规律及其应用,材料专讲价态高低规律、归中规律（只靠拢不交叉）与歧化反应及其应用；与候选节点边界「归中规律只适用于含同种元素的物质之间的反应」「判断产物时不能出现价态交叉」逐条吻合、且包里强弱规律与先后规律亦各有同名节点
CHEMISTRY,ext-che-25f43f1fc3-019,氧化还原反应规律及其应用,REBIND,氧化还原反应的守恒规律,材料讲质量守恒、电子守恒与电荷守恒及其在配平与电子转移计算中的应用；候选节点边界正是「电荷守恒用于确定离子方程式中H+与OH−或H2O的系数、电子守恒用于确定氧化剂与还原剂的系数比」、而现挂节点边界明写「不涉及配平过程」
CHEMISTRY,ext-che-747e72a70a-007,化学计算中的守恒法,REBIND,守恒法在化学计算中的应用,材料讲守恒法解题三步与原子守恒、电子守恒、电荷守恒在化学计算中的适用；材料标题与候选节点同名且候选边界「每种守恒都有明确的适用对象、只列出守恒式往往不足以求解需与另一个数量关系联立」正对它、两个节点为同主题近重复节点
CHEMISTRY,ext-che-c3ab790e04-021,误差分析,REBIND,中和滴定的误差分析方法,材料讲由c待＝c标V标/V待出发把误差归结为V(标准)偏大或偏小并给出滴定管仰视俯视读数的偏差方向；与候选节点边界「判断误差的方向时始终抓住V(标准)偏大则结果偏高这一条主线」及锥形瓶只用蒸馏水洗不润洗一致、属中和滴定误差方法的专名节点
PHYSICS,ext-phy-089780a205-007,热力学图像问题,REBIND,气体状态变化图像的分析方法,材料讲点与线的物理意义、V-T与p-T图中用与原点连线斜率比较压强体积、p-V图线与V轴所围面积表示做功；材料标题与候选节点同名且候选边界「求功必须用p-V图像的面积、其他图像不能直接由面积求功」正对材料内容
PHYSICS,ext-phy-27916050fc-002,用油膜法估测油酸分子的大小实验,REBIND,用油膜法估测油酸分子的大小,材料是完整的油膜法实验（原理d=V/S、器材、步骤、数格数据处理、撒粉与描轮廓注意事项）；标题与候选节点同名且候选边界「必须按配制比例换算纯油酸的体积、不能把油酸酒精溶液的体积当作油酸体积」正对材料的数据处理与注意事项
