subject,material_slug,node_slug,confidence,evidence
BIOLOGY,bio-co2-fertilization-suppress-photorespiration,光呼吸,high,材料讲增施CO2使Rubisco处CO2与O2比值升高从而固碳占优光呼吸下降产量提高；节点即光呼吸且已收录改造光呼吸支路提高净光合速率类条目
BIOLOGY,bio-fj-02-mg-chlorophyll-not-carotene,捕获光能的色素和结构,medium,材料讲Mg2+是叶绿素的组成成分而类胡萝卜素不含Mg；属光合色素的元素组成判断
BIOLOGY,bio-fj-07-sucrase-in-osmometer,渗透作用,high,材料讲U形管渗透装置中加蔗糖酶使蔗糖水解为两分子单糖后微粒数增多水净流向蔗糖侧；考的是渗透作用的水分子移动方向与液面变化
BIOLOGY,bio-fj-15-gene-concepts,基因,medium,材料辨析显性隐性基因相同基因等位基因与非等位基因的概念及位置关系；节点已收录复等位基因等基因概念类条目
BIOLOGY,bio-fj-33-mutualism-protocooperation,群落的结构,high,材料辨析原始合作与互利共生；节点别名即「互利共生与原始合作的辨析」与「种间关系主要有原始合作（互惠）」
BIOLOGY,bio-fx-influenza-variation-cause,病毒,high,材料讲流感病毒为单链RNA病毒结构不稳定故易变异并与T2噬菌体比较；节点已收录「病毒繁殖过程与可遗传变异来源」
BIOLOGY,bio-fx-testcross-gamete-ratio,测交,high,材料讲双杂合子测交后代表型比等于其配子比并据以判断自由组合或连锁互换；节点即测交且已收录「测交实验的目的与结果解读」
BIOLOGY,bio-kb-hybrid-breeding-and-heterosis,育种,high,材料讲杂交选育纯合品种与杂种优势及其固定方法；节点别名含「杂种优势及其固定方法」与「基因重组的结果、意义与杂交育种」
BIOLOGY,bio-kb2-10-pigment-absorption,捕获光能的色素和结构,high,材料讲叶绿素主要吸收红光和蓝紫光而类胡萝卜素主要吸收蓝紫光；节点已收录「绿叶中色素的吸收光谱」
BIOLOGY,bio-kb3-f4-s28-n01,生物模型的类型,low,材料只给模型的一般定义（为特定目的对认识对象作简化的概括性描述）且节点表无建构模型节点；就近绑到生物模型类型待复核
BIOLOGY,bio-neurotransmitter-clearance,神经递质,high,材料讲递质作用后被特异性酶降解或被突触前膜回收以保证信号单次准确传递；节点别名即「神经递质的来源 释放 作用与去向」
BIOLOGY,bio-rt-pcr-principle,pcr技术,high,材料讲先逆转录合成cDNA再以cDNA为模板PCR扩增的RT-PCR流程；节点别名含「RT-PCR与实时荧光定量PCR的对比」与「RNA病毒的检测与PCR模板要求」
CHEMISTRY,chem-fx-bo-li-xian-wei-f73x12,玻璃纤维的性质与用途,high,材料讲玻璃纤维为无机非金属材料及其成分与绝缘耐热抗腐蚀等优点；节点名与材料主题完全一致
CHEMISTRY,chem-fx-di-si-bu-f03x10,顺反异构与对映异构的判断,high,材料第四步检查是否含碳碳双键产生顺反异构与手性碳产生对映异构；节点别名即「顺反异构与对映异构（手性）」
CHEMISTRY,chem-fx-fang-shui-jie-f74x02,盐类水解的影响因素,high,材料讲加酸或加碱抑制水解（FeCl3溶液加稀盐酸与Na2S溶液加NaOH）；节点别名含「易水解盐类的制备、结晶与保存条件」
CHEMISTRY,chem-fx-jin-xian-dai-de-cheng-jiu-f73x13,为化学作出贡献的科学家与重大成就,high,材料讲结晶牛胰岛素与CO2转化为淀粉等近现代成就及陶瓷黑火药等我国古代发明；节点别名即「我国化学科学家与古代重大发明」
CHEMISTRY,chem-fx-ruo-shi-jia-re-yi-qi-f65x01,常见仪器,high,材料按加热与量器与分离三类用途选仪器（蒸发皿坩埚与量器精度与过滤分液蒸馏）；节点别名含「化学仪器的选用原则」与「量器的选择与读数精度」
CHEMISTRY,chem-fx-tong-zhong-yuan-zi-f30x02,电离能的三个重要应用,medium,材料讲同种原子逐级电离能越来越大并用于判断元素金属性强弱；节点已收录「逐级电离能规律及应用」
CHEMISTRY,chem-fx-yi-ju-dan-yang-yuan-zi-ge-shu-bi-qiu-j-f25x05,氮氧化物与氧气混合溶于水的计算,high,材料讲生成HNO3的NO与NO2与O2中氮氧原子个数比均为2比5并等效于N2O5与水反应；节点名与主题一致
CHEMISTRY,chem-fx-zhuang-zhi-zhong-f66x09,定量实验数据的采集与处理,low,材料为残句讲装置Ⅲ先通适量气体X再通足量气并依据生成的固体质量计算；属定量测定数据的采集与计算但原文有缺字
CHEMISTRY,chem-kb-indicator-color-ranges,酸碱中和滴定指示剂的选择,high,材料给石蕊与甲基橙与酚酞的变色范围；用于指示剂选择与滴定终点判断
MATH,math-fx-coujiao-fa,拼凑角思想,high,材料讲把未知角拆成已知角的和差并在拆分后重新确定角的范围定符号；节点别名即「三角变换中的拼凑角思想」与「给值求角时角的范围与定号」
MATH,math-hj-jiangmi-shengmi-gongshi,降幂公式与升幂公式,high,材料即降幂公式与升幂公式清单（含1加减sin2α的配方形式）；节点名完全一致
MATH,math-hj-yangjiao-fujiao,解三角形的实际应用,high,材料定义测量中的仰角与俯角；节点别名含「测量中的常用术语与解题思路」
MATH,math-mo-geijiao-qiuzhi-sanfangmian,三角恒等变换,medium,材料给给角求值的三个处理方向（诱导公式化同角与同角关系与和差公式）；同类材料「给角求值的拆分与凑角」亦绑在三角恒等变换
MATH,math-mo-yuanmi-dingli,圆幂定理与相交弦定理,high,材料讲相交弦定理与割线定理与切割线定理；节点名与同名材料一致
PHYSICS,phys-dongli-fenpei-neili-an-zhiliang,共速连接体对合力的分配原理,medium,材料讲绳连两物在动力F下共速运动时内力按质量分配且与μ和θ无关；节点名即共速连接体对合力的分配
PHYSICS,phys-hj-159-electric-current-concept,电流,high,材料讲电流的定义式I=q/t与形成条件与标矢性与方向；节点别名含「电流的定义与形成条件」与「电流的形成条件与标矢性」
PHYSICS,phys-hj3-moving-fixed-rod-model,活杆与定杆模型,high,材料讲动杆用铰链可自由转动故平衡时弹力沿杆而定杆弹力方向不一定沿杆；节点别名即「动杆与定杆的弹力方向」
PHYSICS,phys-screen-offset-methods,带电粒子在匀强电场中偏转的两个分运动,high,材料给粒子经加速电场与偏转电场后打在屏上偏移量的四种求法；节点别名含「偏转位移的相似法与打屏位置计算」
