subject,material_slug,node_slug,confidence,evidence
BIOLOGY,bio-etc-proton-gradient-establishment,有氧呼吸,medium,材料讲电子传递把H+从基质泵至膜间隙建立H+浓度差；属有氧呼吸第三阶段电子传递与氧化磷酸化；同页同题型的「O2与电子和H+结合生成水」「第三阶段线粒体内膜电子传递」两条已绑该点
BIOLOGY,bio-fj-03-polysaccharide-functions,细胞中的糖类,high,材料讲淀粉、纤维素、糖原三类多糖的分布与功能；该节点已收录「常见的多糖」「细胞中的糖类·多糖」
BIOLOGY,bio-fj-09-yeast-seal-before-test,实验-探究酵母菌细胞呼吸的方式,high,材料讲酵母菌无氧呼吸实验中B瓶先封口耗尽瓶内氧气再连通石灰水；属该实验的变量分析与装置细节
BIOLOGY,bio-fj-21-rna-types-functions,RNA的结构、种类与功能,high,材料讲mRNA、tRNA、rRNA三类RNA的结构与功能及tRNA含局部氢键；与该节点同名同主题
BIOLOGY,bio-fx-bacteria-role-judgment,生态系统的结构,high,材料讲硝化细菌是生产者、寄生细菌是消费者、腐生细菌与蚯蚓蜣螂是分解者；正是该节点的成分归属易混易错
BIOLOGY,bio-fx-megaprimer-pcr,pcr技术,high,材料讲大引物PCR用三条引物两轮扩增实现定点突变；该节点已收录重叠延伸PCR定点突变与引物设计类条目
BIOLOGY,bio-hypoxia-weakens-pump,主动运输,high,材料讲缺氧使ATP减少致Na+-K+泵活动减弱、离子梯度难以维持；该节点别名含「氧气含量通过呼吸供能影响主动运输」「钠钾泵与静息电位幅度的关系」
BIOLOGY,bio-kb-tissue-edema-cause-analysis,组织水肿的成因,high,材料归纳血浆蛋白减少、组织液渗透压升高、淋巴回流受阻三类水肿成因并落脚渗透压变化；与该节点同名同判据
BIOLOGY,bio-kb2-27-sweat-adh-exercise,水和无机盐平衡的调节,high,材料讲运动出汗使细胞外液渗透压升高、抗利尿激素释放增加、尿量减少；该节点边界正收录同一情境条目
BIOLOGY,bio-kb3-f4-s55-n05,细胞不能无限长大的原因,high,材料给出边长8的模型其表面积384、体积512与含葡萄糖体积比169/512；正是该节点的物质运输模型与相对表面积考点
BIOLOGY,bio-polysaccharide,细胞中的糖类,high,材料讲淀粉、糖原、纤维素、几丁质的缩合来源与功能；属该节点的多糖条目（同页单糖二糖也归该章糖类）
BIOLOGY,bio-synaptic-abnormal-four-links,神经递质,medium,材料按递质—间隙—受体—后膜四环节排查突触传递异常；近同名材料「突触传递异常的分析思路」已绑该点（该点边界含递质功能障碍表现）
CHEMISTRY,chem-fx-chi-xue-yan-f16x06,fe2-fe3-的检验方法,high,材料讲赤血盐{K3[Fe(CN)6]}用于检验Fe2+生成蓝色沉淀；属该节点的检验试剂与现象范围
CHEMISTRY,chem-fx-entry-f09x14,常见阴离子的检验与推断依据,medium,材料讲加稀硫酸产生能使品红褪色的气体以检验SO3^2-与HSO3-；该节点别名含「硫酸根与亚硫酸根的检验方法」「常见阴离子的检验：硫酸根、碳酸根与亚硫酸根」
CHEMISTRY,chem-fx-han-you-zhi-ji-han-you-ben-huan-he-ci-f63x11,限定条件下同分异构体的书写步骤,medium,材料给出含酯基、含苯环、核磁共振氢谱两组峰的结构限定并接合成路线设问；属该节点用限定条件加氢谱确定结构的思路且同为选择性必修3合成高分子章
CHEMISTRY,chem-fx-pao-mo-mie-huo-qi-yuan-li-f73x09,盐类水解的规律及拓展应用,high,材料讲Al2(SO4)3与小苏打相互促进水解生成Al(OH)3和CO2泡沫灭火；属水解规律的生活应用
CHEMISTRY,chem-fx-shi-yong-yi-qi-f74x03,药品取用,medium,材料列药匙或纸槽、镊子、托盘天平、胶头滴管、试剂瓶倾倒、量筒滴定管移液管量取等取用与量取仪器；属药品取用的规范操作
CHEMISTRY,chem-fx-xin-cai-liao-de-xin-xiu-f18x06,碳纳米材料,medium,材料讲石墨烯和氧化石墨烯这一新材料热点与其结构模型；石墨烯属碳纳米材料而该节点边界正区分碳纳米材料与新型无机非金属材料
CHEMISTRY,chem-fx-yong-tu-zai-neng-yuan-xin-xi-yi-yao-de-f18x04,新型无机非金属材料,medium,材料讲碳化硅共价晶体用作磨料、含硅4%的硅钢具导磁性等特殊功能含硅材料及在能源信息医药的应用前景；属新型无机非金属材料的分类与特性
CHEMISTRY,chem-hj-kejiare-yiqi-shiyong-yaodian,常见仪器,high,材料讲试管、蒸发皿、坩埚、圆底与蒸馏烧瓶、锥形瓶、三颈烧瓶等可加热仪器的使用要点；该节点别名含「可加热仪器的选择与使用」「常用可加热仪器与加热操作」
MATH,math-ellipse-max-angle-at-vertex,椭圆焦点三角形,high,材料讲椭圆上动点对两焦点的张角在短轴端点最大；该节点别名即「椭圆上张角最大的位置：短轴端点」
MATH,math-fx-shulie-fangsuo-mubiao-daoyu-shidu,数列不等式的放缩,high,材料讲放缩由目标界决定方向与幅度、放缩后需可求和、过度放缩要换更紧的放缩并保留前几项；该节点别名含「数列不等式的放缩总纲」且边界同述精度不足会证不出
MATH,math-hj-s42-chord-to-tangent,齐次式与切弦互化,high,材料讲关于sinα与cosα的齐次分式同除cos^nα化为tanα、非齐次式先补齐次数；该节点边界即弦化切要求cosα≠0与非齐次式先补齐次数
MATH,math-isomorphic-match-product-form,同构法,high,材料把a^x·ln a写成e^{x ln a}·ln a并两边同乘x构造f(t)=te^t比较；该节点别名含「朗博同构（幂函数乘指数）」「指对同构的三种基本类型（积型、商型、和差型）」
MATH,math-mo-sanjianke-zhiyiqiuer,同角三角函数的基本关系,high,材料讲sinα±cosα与sinαcosα三者知一求二并强调由象限定符号；该节点别名含「知一求二：正弦与余弦的和差积互化」
MATH,math-period-shift-equal-different-offsets,函数的周期性,high,材料由f(a+x)=f(b+x)推出周期T=|b-a|；属该节点的常见周期性结论
PHYSICS,phys-fx-volt-ampere-characteristic-curve,伏安特性曲线,high,材料讲线性元件U-I为过原点直线、非线性元件电阻用U/I而非切线斜率、小灯泡与二极管；与该节点边界一致
PHYSICS,phys-hj2-zhidai-chuzhi-jizhi,纸带在力学实验中的应用分析,medium,材料讲选点迹清晰纸带、舍掉开头密集点、从便于测量的点起取计数点并测间距求速度与加速度；属该节点的纸带选用与数据处理
PHYSICS,phys-kb-train-turning-model,圆周运动的经典模型和应用,high,材料讲火车转弯规定速度v0=sqrt(gRtanθ)与内外轨挤压判据；该节点别名含「火车转弯的向心力来源与规定速度」「火车转弯与汽车过拱桥」
