chunk_id,midx,node_slug,type,title,summary,applicability,content,boundary,note
821b9ad2a0-001,,静摩擦力,CONCEPT_EXPLANATION,静摩擦力的大小与方向,静摩擦力的定义、产生条件、方向判断与大小计算要点。,受力分析、平衡与动力学求力,①定义：两个物体之间只有相对运动趋势而没有相对运动时的摩擦力。②产生条件：接触面粗糙；接触处有弹力；两物体间有相对运动趋势。③方向沿接触面，与相对运动趋势的方向相反。④大小满足0＜F≤Fmax，实际最大静摩擦力略大于滑动摩擦力，故不能用F＝μFN计算。⑤判断有无及方向可用状态法、牛顿第三定律法与假设法；平衡时按平衡条件求解，有加速度时由F合＝ma先求合力再求静摩擦力。,静摩擦力大小由物体的运动状态决定，只有达到最大值时才与正压力相关，不能直接套用F＝μFN。,一轮 第二章  第2讲　摩擦力（教师版）
c7c6166552-011,,力的分解,CONCEPT_EXPLANATION,力的分解与分解方法,力的分解的定义、按效果分解与正交分解的操作要点。,共点力平衡与动力学问题求分力,①定义：求一个已知力的分力的过程，力的分解是力的合成的逆运算，遵循平行四边形定则或三角形定则。②按力产生的效果分解：先依据实际作用效果确定两个分力的方向，再画出平行四边形，最后由几何知识求分力的大小和方向。③正交分解：把力沿相互垂直的两轴分解，静力学中以少分解力、易分解力为原则，动力学中常以加速度方向和垂直加速度方向为坐标轴。④两轴合力分别为Fx与Fy，合力大小F＝√(Fx²＋Fy²)，方向由tanθ＝Fy/Fx确定。,力的分解若无条件限制会有无数种结果，必须先按实际效果或正交方向确定分力的方向。,一轮 第06讲 力的合成与分解（复习讲义）（四川专用）（教师版）
644a3396cb-003,,力的合成,CONCEPT_EXPLANATION,力的合成与合力范围,平行四边形定则、三角形定则及合力取值范围的确定。,共点力的合成与矢量运算,①定义：求几个力的合力的过程。②平行四边形定则：以表示两个分力的线段为邻边作平行四边形，两邻边之间的对角线表示合力的大小和方向；三角形定则把两分力首尾相接，另一端之间的连线表示合力。③矢量相加遵循平行四边形定则，标量按算术法则相加。④合力范围：两力同向时最大、反向时最小；三个力中若任意两个力大小之和大于第三个力，则合力最小值为零，否则合力最小值等于最大的力减去另外两个力之和。⑤常用作图法与计算法（余弦定理）求解。,合力不一定大于分力；判断三力合力最小值时必须先检验三个力能否构成封闭三角形。,一轮 第06讲 力的合成与分解（复习讲义）（黑吉辽蒙专用）（教师版）
2199dad0da-018,,离心现象,CONCEPT_EXPLANATION,离心运动与近心运动,离心运动的成因、受力特点、本质与应用和防止。,圆周运动动力学与临界分析,①定义：做圆周运动的物体在所受合外力突然消失或不足以提供所需向心力时，做逐渐远离圆心的运动。②原因：向心力突然消失或合力不足以提供所需的向心力。③受力特点：F＝0时物体沿切线方向飞出做匀速直线运动；F小于所需向心力时物体逐渐远离圆心即做离心运动；F大于所需向心力时物体逐渐靠近圆心即做近心运动。④本质并不是受到离心力的作用，而是提供的力小于做匀速圆周运动需要的向心力。⑤应用有离心干燥器、洗衣机脱水筒、离心制管与离心机；防止措施有砂轮与飞轮限速、公路弯道限速。,离心运动不是受到所谓离心力的作用，而是提供向心力的合力不足，物体仍沿曲线远离圆心。,一轮 第15讲 圆周运动（复习讲义）（全国通用）（教师版）
2422726855-001,,曲线运动,CONCEPT_EXPLANATION,曲线运动的条件与特征,曲线运动的概念、条件、处理思想与运动特征。,运动的合成与分解、轨迹分析,①概念：物体运动轨迹是曲线的运动。②条件：物体所受合外力的方向与它的瞬时速度方向不在同一直线上，即二者存在夹角。③处理思想：用运动的合成与分解把复杂曲线运动分解为两个较简单的直线运动，再用直线运动规律求解。④运动特征：速度方向时刻改变，一定是变速运动，一定有加速度，加速度方向总指向轨迹的凹侧，但加速度不一定变化。⑤速率增减：合外力与速度成锐角时速率增大，成钝角时速率减小，垂直时速率不变。,曲线运动一定是变速运动，但变速运动不一定是曲线运动；判断轨迹弯曲方向要看合力指向轨迹的凹侧。,一轮 专题04 曲线运动（知识清单）（全国通用）（学生版）
e4e7c5ff21-002,,平抛运动,CONCEPT_EXPLANATION,平抛运动的基本规律,平抛运动的定义、性质、研究方法、规律与两个推论。,抛体运动分析与实验数据处理,①定义：将物体以一定的初速度沿水平方向抛出，物体只在重力作用下的运动。②性质：加速度为g的匀变速曲线运动，轨迹是抛物线。③研究方法：分解为水平方向的匀速直线运动和竖直方向的自由落体运动。④规律：水平方向vx＝v0、x＝v0t；竖直方向vy＝gt、y＝½gt²。⑤两个推论：任意时刻瞬时速度的反向延长线一定通过此时水平位移的中点；速度方向与水平方向夹角θ与位移方向夹角α满足tanθ＝2tanα。⑥相等时间间隔内速度变化量Δv＝gΔT方向竖直向下，竖直位移差Δy＝g(ΔT)²。,平抛运动的加速度恒为g，速度变化量方向始终竖直向下；tanθ＝2tanα中的θ与α必须是对同一点而言。,一轮 第15讲 抛体运动（复习讲义）（黑吉辽蒙专用）（教师版）
0a006a4564-001,,圆周运动,CONCEPT_EXPLANATION,圆周运动基础概念与规律,匀速圆周运动的定义、特征及向心力与向心加速度。,圆周运动运动学与动力学分析,①匀速圆周运动：质点沿圆周运动，如果在相等的时间里通过的弧长相等，这种运动就叫做匀速圆周运动。②运动性质：匀速圆周运动是变速运动，因为线速度方向时刻变化、向心加速度方向时刻沿半径指向圆心。③特征：匀速圆周运动中角速度、周期、转速、速率、动能恒定不变；线速度、加速度、合外力、动量不断变化。④向心力：质点做圆周运动时受到的沿半径方向指向圆心的合力，是效果力，只改变线速度的方向而不改变线速度的大小，由合外力沿半径方向的分量提供。,匀速圆周运动是变速运动，向心力只改变速度方向；向心力的来源必须由实际受力分析确定，不能额外再加上一个向心力。,一轮 专题05 圆周运动（知识清单）（全国通用）（教师版）
df69a5f104-009,,变轨原理,CONCEPT_EXPLANATION,卫星变轨原理,卫星因速度改变使万有引力与所需向心力不平衡而变轨的原理。,万有引力定律与航天变轨分析,①当卫星速度逐渐增加时，万有引力不足以提供向心力，卫星做离心运动，轨道半径变大；进入新的圆轨道稳定运行时，由v＝√(GM/r)可知其运行速度比原轨道时小。②当卫星速度逐渐减小时，万有引力大于所需要的向心力，卫星做近心运动，轨道半径变小；进入新的圆轨道稳定运行时运行速度比原轨道时大。③变轨的实质是万有引力与所需向心力之间的供需关系被打破，半径变化方向由两者的相对大小决定。④判断运行速度变化时要注意区分变轨瞬间的速度与新轨道稳定运行的速度。,卫星在同一位置不论在哪条轨道上，万有引力与加速度都相同；轨道半径越大，稳定运行速度越小。,一轮 专题06 万有引力与航天（知识清单）（全国通用）（教师版）
1c267134b6-016,,变轨过程分析,METHOD_MODEL,卫星变轨过程与参量变化,以同步卫星多过程变轨为例分析各物理量的变化规律。,天体运动变轨问题的定量比较,①变轨过程：先把卫星发射到圆轨道Ⅰ做匀速圆周运动；在近地点A点火加速，所需向心力变大而做离心运动进入椭圆轨道Ⅱ；在远地点B再次点火加速，使万有引力等于所需向心力而进入圆轨道Ⅲ。②速度关系：设圆轨道Ⅰ、Ⅲ的速率为v1、v3，椭圆轨道上过A、B点的速率为vA、vB，则vA＞v1＞v3＞vB。③向心加速度：同一点在不同轨道上加速度相等，即aⅠA＝aⅡA、aⅡB＝aⅢB；不同点比较aA＞aB。④周期关系T1＜T2＜T3。⑤机械能关系E1＜E2＜E3，同一条轨道上机械能守恒。,比较同一轨道上不同位置的速度用开普勒第二定律，比较不同圆轨道的速度用v＝√(GM/r)，两者不能混淆。,一轮 第17讲 天体运动（复习讲义）（四川专用）（学生版）
100c90511b-007,,卫星的对接问题,METHOD_MODEL,卫星对接的两类情形,低轨追高轨与同轨道对接的操控方式及注意事项。,航天器对接与变轨综合问题,①低轨道飞船与高轨道空间站对接：低轨道飞船通过合理加速，沿椭圆轨道做离心运动追上高轨道空间站完成对接。②同一轨道飞船与空间站对接：后面的飞船先减速降低高度，再加速提升高度，通过适当控制使飞船追上空间站时恰好具有相同的速度。③航天器变轨时半径的变化由万有引力与所需向心力的大小关系判断；稳定在新圆轨道上的运行速度由v＝√(GM/r)判断。④航天器在不同轨道上运行时机械能不同，轨道半径越大机械能越大。⑤航天器经过不同轨道的相交点时加速度相等，外轨道的速度大于内轨道的速度。,同一轨道上直接加速会使飞船做离心运动而升高轨道，无法追上空间站，必须先减速降轨再择机加速。,一轮 专题06 万有引力与航天（知识清单）（全国通用）（学生版）
