material_slug,target_node_name,evidence
chem-ammonia-catalytic-oxidation-and-nox,氨的化学性质,材料标题为NH3的催化氧化及其与NOx的归中反应；正文为4NH3+5O2催化氧化得NO及NH3脱硝，属氨的化学性质
chem-kb-sodium-oxygen-reactions,钠及其化合物的化学性质,材料讲钠与O2常温生成Na2O、加热（点燃）生成Na2O2及对应现象，属钠的化学性质
chem-hj-tie-yufeijinshu-fanying,铁的化学性质,材料讲铁与O2、Cl2、S、I2等非金属单质的反应及产物价态，属铁的化学性质
chem-hj2-chun-cuihuayang-guilv,醇的化学性质,材料标题为醇的催化氧化规律；正文按羟基所连碳上的氢原子数判断氧化产物，属醇的化学性质
chem-hj2-yichun-qiangyanghuaji-yanghua,醇的化学性质,材料讲乙醇被酸性KMnO4或酸性K2Cr2O7氧化为乙酸的现象与产物，属醇的氧化反应即醇的化学性质
chem-fx-liang-tong-bu-neng-zuo-fan-ying-qi-f05x04,常见仪器,材料标题为量筒；正文讲量筒不能作反应器、不能直接稀释浓溶液等使用规范，属常见仪器
chem-fx-qi-zhong-f43x09,浓度商与化学平衡常数的表达式,材料说明Kx是以平衡物质的量分数代替平衡浓度计算的平衡常数，属平衡常数的表达式（该节点已含Kp定义与表达式类材料）
chem-fx-te-bie-ti-xing-fen-zhi-zai-jian-xing-t-f61x08,酯和油脂的结构和性质,材料提醒酚酯在碱性条件下水解消耗NaOH的定量关系（1 mol消耗2 mol），属酯的水解即酯的结构和性质
chem-fx-fen-bie-xie-chu-gu-an-suan-zai-qiang-s-f62x13,氨基酸的结构与性质,材料要求写出谷氨酸在强酸或强碱条件下的存在形式并写出合成二肽的氨基酸结构，属氨基酸的两性与成肽
chem-fx-zhi-ji-shui-jie-fan-ying-suan-xing-tia-f64x07,酯和油脂的结构和性质,材料讲酯基在酸性条件下水解生成羧酸和醇、碱性条件下生成羧酸盐和醇，属酯的结构和性质
chem-kb-so2-co2-identification,SO2和CO2的鉴别方法,材料标题为SO2与CO2的鉴别与共存检验；正文为品红鉴别SO2、酸性KMnO4除SO2、澄清石灰水检验CO2的流程，与节点名直接对应
chem-hj-so2-zhibei-fangfa,二氧化硫,材料讲二氧化硫的实验室制备（Na2SO3与较浓H2SO4不加热、Cu与浓H2SO4加热），包内无SO2制备专节点故归入二氧化硫
chem-hj-guisuan-guisuanna,硅酸和硅酸盐,材料标题为硅酸与硅酸钠（水玻璃）；正文讲H2SiO3的弱酸性及硅酸钠的水玻璃用途，与节点名对应
chem-hj2-wujizhi-zhibei-silu,实验方案设计,材料讲无机物制备实验的设计思路与核心考点（仪器试剂、装置与试剂作用、方案评价、装置连接顺序、分离提纯），属实验方案设计
chem-fx-yu-f07x09,物质间转化的5个常见易错点,材料列举Al2O3、SiO2、Fe2O3与H2O不反应、Fe与Cl2不生成FeCl2、Fe与H+及S、I2不生成Fe3+等不能一步实现的转化易错点
chem-fx-yang-hua-mei-rong-yu-xi-liu-suan-f08x16,与量有关的离子方程式书写技巧,材料为离子方程式书写练习（含向AlCl3溶液中滴加过量氨水、向NaHSO3溶液中加入过量NaHSO4），以过量试剂控制产物
chem-fx-xiao-suan-ke-yang-hua-f25x10,硝酸,材料讲硝酸可氧化H2S、SO2、Na2SO3、HI、Fe2+等还原性物质及其离子方程式，属硝酸的强氧化性
chem-fx-de-rong-dian-bi-gao-f34x08,晶体熔、沸点高低的比较方法,材料以SiO2是共价晶体而CO2是分子晶体解释SiO2熔点比CO2高，属晶体熔沸点高低的比较
