chunk_id,midx,node_slug,type,title,summary,applicability,content,boundary,note
df6d15950b-012,,分子的性质,CONCEPT_EXPLANATION,分子间作用力与分子的性质,范德华力与氢键的实质、特征及其对熔沸点、密度等物理性质的影响,分子结构与性质 熔沸点比较,①范德华力是分子间普遍存在的电性作用，很弱，比化学键的键能小1～2个数量级，主要影响物质的熔点、沸点、硬度；组成和结构相似的物质，随相对分子质量增大范德华力增大。②氢键由已经与电负性很大的原子（N、O、F）形成共价键的氢原子与另一电负性很大的原子形成，记作X—H…Y，不属于化学键，也约比化学键弱1～2个数量级，分分子间氢键与分子内氢键。③存在分子间氢键的物质熔、沸点较高；能形成分子内氢键的物质熔、沸点低于同类形成分子间氢键的物质，如对羟基苯甲醛高于邻羟基苯甲醛。,氢键不是化学键；分子间作用力只解释物理性质，不能用来解释分子稳定性（稳定性由化学键强弱决定）,一轮 知识清单 专题03 化学键 分子结构与性质（教师版）
6c2b1eeb5f-005,,溶液的ph,CONCEPT_EXPLANATION,溶液的酸碱性与pH,pH定义式、广范pH范围与pH试纸测定方法,水溶液离子平衡 溶液酸碱性判断,①溶液的酸碱性取决于溶液中c(H＋)与c(OH－)的相对大小：c(H＋)＝c(OH－)呈中性，c(H＋)＞c(OH－)呈酸性，c(H＋)＜c(OH－)呈碱性。②pH＝－lg c(H＋)，广范pH范围为0～14，只适用于c(H＋)≤1 mol·L－1或c(OH－)≤1 mol·L－1的稀溶液，更浓时直接用c(H＋)、c(OH－)表示酸碱性。③pH试纸法：把小片试纸放在玻璃片或表面皿上，用洁净干燥的玻璃棒蘸取待测液滴在试纸中部，与标准比色卡对比读数；也可用pH计精确测量。,pH试纸用前不能润湿，且不能用pH试纸测氯水等有漂白性溶液的pH,一轮 知识清单 专题02 水的电离和溶液的酸碱性（教师版）
786c31d6e4-009,,电极反应式,METHOD_MODEL,电极反应式的书写,由总反应式拆分正负电极反应式的步骤与技巧,电化学 原电池与电解池电极反应,①书写思路与氧化还原反应方程式相同：先写出总反应式并标出转移电子数(ne－)，再确定正、负极（失电子的一极为负极），并明确溶液的酸碱性。②负极反应通式为还原剂－ne－===氧化产物，正极反应通式为氧化剂＋ne－===还原产物。③某极反应式较难写时，可先写出较易的一极，再用总反应式减去该极反应式即得另一极；例如二甲醚酸性燃料电池，正极3O2＋12H＋＋12e－===6H2O，总式减去正极得负极CH3OCH3＋3H2O－12e－===2CO2＋12H＋。④特别提醒：两极转移电子数必须与总反应式一致。,两极转移电子总数必须等于总反应式中的电子数，酸性、碱性介质产物不同不可混用,一轮 知识清单 专题02 原电池 化学电源（学生版）
42dee98d13-013,,金属的腐蚀,CONCEPT_EXPLANATION,金属的腐蚀与防护,金属腐蚀的本质、化学腐蚀与电化学腐蚀及腐蚀快慢规律,电化学 金属腐蚀与防护,①金属腐蚀的本质是金属本身失电子变成阳离子（M－ne－===Mn＋）而发生氧化反应。②按接触物质不同分两类：金属与接触物质直接发生化学反应、过程中无电流产生的为化学腐蚀；金属与电解质溶液接触形成原电池、过程中有电流产生的为电化学腐蚀。③钢铁的电化学腐蚀以吸氧腐蚀为主，析氢腐蚀与吸氧腐蚀取决于金属表面电解质溶液的酸碱性；两种情况下负极均是Fe失电子生成Fe2＋而非Fe3＋。④腐蚀快慢：电解原理引起的腐蚀＞原电池原理引起的腐蚀＞化学腐蚀＞有防护措施的腐蚀。,负极产物是Fe2＋不是Fe3＋；氢后金属只能发生吸氧腐蚀，不能发生析氢腐蚀,一轮 复习讲义 第03讲 电解池 金属的腐蚀与防护（湖南专用 学生版）
debd9107b2-032,,分子的极性,CONCEPT_EXPLANATION,分子的极性与判断方法,键的极性、空间构型与分子极性的关系及三种判断方法,分子结构与性质 分子极性判断,①分子的极性是分子中化学键极性的向量和：由非极性键形成的双原子或多原子分子正、负电中心重合，都是非极性分子，如H2、N2、C60、P4。②含极性键的分子是否为极性分子，取决于各键极性向量和是否为零：向量和为零（如CO2、BF3、CH4）为非极性分子，不为零（如HCl、H2O、NH3、H2O2）为极性分子。③判断方法：孤对电子法：ABn型中中心原子无孤对电子为非极性分子，有孤对电子为极性分子；几何对称法：键呈中心对称或正多边形、正多面体分布的为非极性分子。④只含非极性键的分子一定是非极性分子，含极性键的分子不一定是极性分子。,只含非极性键的分子必为非极性分子，但含极性键的分子不一定有极性，需看空间构型是否对称,一轮 复习讲义 第03讲 分子结构与性质 化学键（教师版）
8179029ae7-025,,合成高分子,CONCEPT_EXPLANATION,合成高分子的基本方法,加聚反应与缩聚反应的定义、单体特征及产物特点,有机合成 高分子合成方法,①高分子的合成是利用有机化合物相互反应的性能得到相对分子质量较大的高分子的过程。②合成高分子的基本方法有两种：加成聚合反应（加聚反应），一般是含有双键的烯类单体发生的聚合反应，产物链节与单体组成相同、无小分子生成；缩合聚合反应（缩聚反应），一般是含有两个或两个以上官能团的单体之间发生的聚合反应，聚合时同时生成小分子（如水、卤化氢等）。③判断高聚物的合成方法看链节与单体组成是否一致：一致为加聚产物，不一致（有官能团变化、无碳碳双键骨架）则一般为缩聚产物。,缩聚反应必须有小分子生成；加聚产物链节组成与单体完全相同，不能把两类反应混判,27版五三B版 随堂讲解PPT 第十二章 生命活动的物质基础（学生用书）
b0ee88eeed-017,,分散系的分类,CONCEPT_EXPLANATION,分散系的分类与胶体,分散系的组成、三种分类依据及氢氧化铁胶体的制备,物质分类与转化 胶体性质,①分散系是把一种或多种物质以粒子形式分散到另一种或多种物质中形成的混合物，被分散成粒子的物质叫分散质，起容纳作用的物质叫分散剂，溶液中的溶质是分散质、溶剂是分散剂。②分类依据有三种：分散质粒子直径大小（本质分类：溶液＜1 nm、胶体1～100 nm、浊液＞100 nm）、分散剂的状态、分散质的状态。③氢氧化铁胶体制备：向40 mL沸水中逐滴加入5～6滴饱和氯化铁溶液，继续煮沸至液体呈红褐色即停止加热，反应为FeCl3＋3H2O=Fe(OH)3(胶体)＋3HCl。④胶体的丁达尔效应常用来区分胶体和溶液。,分类的本质依据是分散质粒子直径大小而非丁达尔效应；制胶体不能用玻璃棒搅拌、不能过度加热,一轮 高效培优讲义 专题01 物质的分类及转化（教师版）
d931f0e7db-003,,电解和电解池,CONCEPT_EXPLANATION,电解与电解池的工作原理,电解池的构成、电极名称、电子与离子移动方向及易错点,电化学 电解池工作原理,①电解是使电流通过电解质溶液（或熔融电解质）而在阴、阳两极引起氧化还原反应的过程，此过程中电能转化为化学能；把电能转化为化学能的装置叫电解池。②电解池由与直流电源相连的两个电极、电解质溶液（或熔融电解质）和闭合回路构成：与电源正极相连的为阳极、发生氧化反应，与电源负极相连的为阴极、发生还原反应。③外电路中电子从电源负极流出经导线流向电解池阴极，阳极产生的电子经导线流入电源正极；内电路中阴离子移向阳极、阳离子移向阴极。④阴极无论什么材料本身都不反应，一定是溶液中的阳离子放电。,电解水溶液时K＋、Ca2＋、Na＋、Mg2＋、Al3＋不能在阴极放电；活性电极（除Au、Pt外的金属）本身要参与电极反应,一轮 高效培优讲义 专题03 电解池 金属的腐蚀与防护（教师版）
11292e024d-012,,常见金属材料,CONCEPT_EXPLANATION,常见的金属材料与新型合金,金属材料的分类、钢与铜铝及其合金、储氢合金与稀土金属,金属材料 合金组成与性能,①金属材料分为金属与合金两大类；钢是用量最大、用途最广的合金，属于黑色金属材料。②有色金属材料主要是铝及铝合金、铜及铜合金：铝合金密度小、强度大，用于制造汽车、飞机等；铜合金有青铜、黄铜、白铜等，具有良好的导电、导热与耐腐蚀性能。③新型合金包括储氢合金（能大量吸收H2并与H2结合成金属氢化物，如Ti－Fe合金、La－Ni合金，为氢能源的实际应用起推动作用）、钛合金、耐热合金、形状记忆合金。④稀土元素指镧系元素（57～71号）及钇和钪共17种元素，在合金中加入适量稀土金属能大大改善合金性能，被称为冶金工业的维生素。,合金中一定含金属元素、可能含非金属元素（如钢中含碳）；合金中各成分元素化合价均为0价,一轮 复习讲义 第04讲 金属材料及金属矿物的开发利用（教师版）
992d57859a-011,,勒夏特列原理,CONCEPT_EXPLANATION,勒夏特列原理及其适用范围,平衡移动方向的判断规则、适用条件与“减弱而非抵消”的理解,化学平衡 平衡移动方向判断,①勒夏特列原理：如果改变影响平衡的一个因素（如温度、压强及参加反应的物质的浓度），平衡就向着能够减弱这种改变的方向移动。②适用范围：仅适用于已达到平衡的反应体系，不可逆过程或未达平衡的可逆过程不能用；该原理对溶解平衡、电离平衡、水解平衡等所有动态平衡都适用；它只适用于判断改变一个影响因素时平衡移动的方向，同时改变几个因素时不能简单套用。③“减弱”不等于“抵消”：如N2(g)＋3H2(g)2NH3(g) ΔH＜0达平衡后增大N2浓度，平衡正向移动使N2浓度减小，但新平衡时N2浓度仍大于原平衡浓度；升高温度平衡逆向移动使温度降低，但新平衡温度仍高于原平衡。,“减弱”不是“消除”，新平衡时被改变的量仍比原平衡更大；多个因素同时改变时不能直接用该原理,一轮 高效培优讲义 专题02 化学平衡状态与平衡移动（教师版）
