node_slug,type,title,summary,applicability,content,boundary,note
焓变,CONCEPT_EXPLANATION,反应热与焓变及吸放热的判断,从能量高低与化学键两个角度判断吸放热并明确ΔH的符号规定与催化剂的作用,反应热与焓变的判断与表示,①反应热是在等温条件下化学反应体系向环境释放或从环境吸收的热量；等压条件下进行的化学反应其反应热等于焓变，符号为ΔH，常用单位kJ·mol⁻¹。②从能量高低理解：吸热反应E(生成物)>E(反应物)、ΔH>0；放热反应E(生成物)<E(反应物)、ΔH<0；图中E₁为正反应的活化能，E₂为逆反应的活化能。③从化学键角度理解：旧化学键断裂吸收能量E₁，新化学键形成放出能量E₂；E₁>E₂时ΔH>0为吸热反应，E₁<E₂时ΔH<0为放热反应。④催化剂参与反应改变反应历程，降低活化能，增大反应速率（正、逆反应速率都增大），缩短达到平衡的时间，但不能改变反应热ΔH，不能使平衡移动，不能改变平衡常数K和平衡转化率α。,催化剂只降低活化能而不改变ΔH；ΔH的正负由生成物与反应物的总能量相对大小决定。,五三化学精讲册 P62
原电池,CONCEPT_EXPLANATION,原电池的构成条件与正负极判断,归纳原电池的构成条件、铜锌原电池的工作原理与正负极的判断依据,原电池原理与电极判断,①原电池是将化学能转化为电能的装置。构成条件：能自发进行的氧化还原反应；一般为活泼性不同的两个电极（燃料电池的两个电极材料可以相同）；电解质溶液、熔融电解质或某些离子导体；两电极直接接触或用导线连接并插入离子导体中形成闭合回路。②工作原理（以铜锌原电池为例）：负极锌片Zn－2e⁻=Zn²⁺发生氧化反应，正极铜片Cu²⁺+2e⁻=Cu发生还原反应，电子由Zn沿导线流向Cu；盐桥中含饱和KCl溶液，K⁺移向正极、Cl⁻移向负极。③正、负极判断依据：电极材料为较活泼金属、发生氧化反应、电子流出、不断溶解质量减小、阴离子移向的一极是负极；较不活泼金属或非金属、发生还原反应、电子流入、电极增重或质量不变、阳离子移向的一极是正极。,太阳能电池不属于原电池，它是将太阳能转化为电能的装置。,五三化学精讲册 P68
电解池,METHOD_MODEL,电解池原理与阴阳极放电顺序,电解池的构成与工作原理、阴阳极放电顺序及惰性电极电解电解质溶液的类型,电解原理与放电顺序判断,①电解池是将电能转化为化学能的装置，由与直流电源相连的两个电极、电解质溶液（或熔融电解质）和闭合回路构成；阴极发生还原反应，阳极发生氧化反应。②阴极放电顺序（与电极材料无关），氧化性强的先放电：K⁺、Ca²⁺、Na⁺、Mg²⁺、Al³⁺、H⁺(水)、Zn²⁺、Fe²⁺、Sn²⁺、Pb²⁺、H⁺(酸)、Cu²⁺、Fe³⁺、Hg²⁺、Ag⁺。③阳极放电与电极材料有关：活性电极（除Au、Pt外的金属）本身失电子发生氧化反应，铁作阳极生成Fe²⁺而不是Fe³⁺；惰性电极（Pt、Au、石墨）时阴离子放电顺序为S²⁻、I⁻、Fe²⁺、Br⁻、Cl⁻、OH⁻、含氧酸根离子、F⁻，放电由易到难。④用惰性电极电解溶液可分为电解水型（如H₂SO₄、NaOH、KNO₃）、电解电解质型（如HCl）、放氢生碱型（如NaCl）、放氧生酸型（如CuSO₄），复原时分别加H₂O、通HCl、通HCl、加CuO。,活性电极作阳极时是阳极材料本身放电，不能套用阴离子放电顺序；铁作阳极生成Fe²⁺。,五三化学精讲册 P70
金属电化学腐蚀规律,CONCEPT_EXPLANATION,金属电化学腐蚀的类型与快慢规律,化学腐蚀与电化学腐蚀的对比、析氢与吸氧腐蚀的电极反应及腐蚀快慢的判断原则,金属腐蚀类型与腐蚀快慢判断,①金属腐蚀的本质：金属原子失去电子变成金属阳离子。②化学腐蚀是金属与其表面接触到的干燥气体或非电解质液体等直接反应，无电流产生；电化学腐蚀是不纯的金属接触到电解质溶液发生原电池反应，较活泼的金属被腐蚀，有微弱电流产生；电化学腐蚀比化学腐蚀普遍得多，腐蚀速率更快。③以钢铁的腐蚀为例：析氢腐蚀的条件是水膜酸性较强，负极Fe－2e⁻=Fe²⁺，正极2H⁺+2e⁻=H₂↑，总反应Fe+2H⁺=Fe²⁺+H₂↑；吸氧腐蚀的条件是水膜酸性较弱或呈中性，正极O₂+2H₂O+4e⁻=4OH⁻，总反应2Fe+O₂+2H₂O=2Fe(OH)₂，吸氧腐蚀更普遍。④腐蚀快慢：电解原理引起的腐蚀>原电池原理引起的腐蚀>化学腐蚀>有防腐措施的腐蚀；同一金属在相同浓度的不同溶液中，强电解质溶液>弱电解质溶液>非电解质溶液；活动性不同的两种金属构成原电池两极时，活动性差别越大，活动性强的金属腐蚀越快。,吸氧腐蚀比析氢腐蚀更普遍；比较腐蚀快慢时不要漏掉有防腐措施的腐蚀最慢。,五三化学精讲册 P72
金属的防护,METHOD_MODEL,金属的防护方法与电化学保护,改变材料组成、覆盖保护层与牺牲阳极法、外加电流法的原理及判断要点,金属防护措施的判断,①改变金属材料的组成：如把Ni、Cr等加到普通钢中制成不锈钢。②覆盖保护层：如电镀、涂油脂、喷油漆、覆盖搪瓷、包裹塑料、表面钝化等。③电化学保护之牺牲阳极法：利用原电池原理，负极（阳极）为比被保护金属活泼的金属，正极（阴极）为被保护的金属。④电化学保护之外加电流法：利用电解原理，阴极（被保护的金属）接电源负极，阳极（惰性金属或石墨）接电源正极。⑤判断要点：被保护金属作原电池正极或电解池阴极即可被保护，若被保护金属作电解池阳极则会被加速腐蚀。,牺牲阳极法中作阳极的是活泼性更强的牺牲金属；外加电流法中必须让被保护金属接电源负极。,五三化学精讲册 P72
化学反应速率,CONCEPT_EXPLANATION,化学反应速率的表示、计算与影响因素,速率表达式与计算、内因外因的影响规律以及充入无关气体对速率的影响,反应速率的计算与影响因素判断,①表示方法：v=Δc/Δt=Δn/(VΔt)，单位mol·L⁻¹·s⁻¹或mol·L⁻¹·min⁻¹；固体或纯液体的浓度视为常数，故不能用固体或纯液体表示化学反应速率；v指某段时间内的平均反应速率而不是瞬时速率。②计算（以aA(g)+bB(g)=cC(g)+dD(g)为例）：找到题目信息c(始)、c(终)、t始、t终、V，根据公式计算；已知v(A)时按v(A)/a=v(B)/b=v(C)/c=v(D)/d换算。③内因是反应物本身的性质；外因包括浓度、压强（对有气体参加的反应）、温度、催化剂（一般可加快反应速率）及其他（增大接触面积、构成原电池可加快反应速率）；升温使反应速率增大，与反应吸热还是放热无关。④充入无关气体：恒温恒容时总压强增大但各反应物浓度不变，反应速率不变；恒温恒压时总体积增大、各反应物浓度减小，反应速率减小。,固体和纯液体不能表示反应速率；恒温恒容充入无关气体压强增大而速率不变。,五三化学精讲册 P82
化学反应速率的比较,METHOD_MODEL,化学反应速率大小的比较方法,归一法、比值法、条件法与平衡移动法比较不同物质表示的速率大小,反应速率大小的比较,①归一法：不同物质表示的速率，换算为同一物质、同一单位表示的速率，再比较数值的大小。②比值法：比较v(A)/a、v(B)/b、v(C)/c、v(D)/d的值，比值越大速率越大。③条件法：同一反应在其他条件相同时，温度高、浓度大、压强大（气体）、使用正催化剂的速率大。④平衡移动法：当平衡正向移动时v(正)>v(逆)；当平衡逆向移动时v(正)<v(逆)。⑤易错提醒：不能用物质的量代替物质的量浓度计算速率；单位不统一时必须先换算；同一反应中各物质的速率之比等于化学计量数之比，只有换算为同一物质后才能比较大小。,用不同物质表示同一反应的速率时，必须先化为同一物质、同一单位才能比较数值大小。,五三化学精讲册 P82
有效碰撞理论解释外因对化学反应速率的影响,CONCEPT_EXPLANATION,有效碰撞理论解释外因对速率的影响,用活化能、活化分子百分数与单位体积活化分子数解释浓度温度压强催化剂的影响,微观角度解释速率变化,①从有效碰撞理论理解外因对化学反应速率的影响，需要比较的微观因素有活化能、单位体积内分子总数、活化分子百分数、单位体积内活化分子数。②浓度增大：单位体积内分子总数增大，活化分子百分数不变，单位体积内活化分子数增大，反应速率增大。③温度升高：活化分子百分数增大，单位体积内活化分子数增大，反应速率增大。④压强增大（对有气体参加的反应）：单位体积内分子总数增大，活化分子百分数不变，单位体积内活化分子数增大，反应速率增大。⑤使用正催化剂：活化能降低，活化分子百分数增大，单位体积内活化分子数增大，反应速率增大。,升温和使用催化剂改变的是活化分子百分数；增大浓度和加压改变的是单位体积内活化分子数，活化分子百分数不变。,五三化学精讲册 P82
化学平衡状态的判断,METHOD_MODEL,化学平衡状态的判断正逆相等变量不变,平衡状态的五大特征与以mA(g)+nB(g)=pC(g)+qD(g)为例的两类判断依据,判断可逆反应是否达到平衡,①化学平衡研究的对象是可逆反应，特征是逆、动、等、定、变：逆指研究对象是可逆反应；动指化学平衡是一种动态平衡；等指v(正)=v(逆)≠0；定指反应物和生成物的质量或浓度、物质的量、体积分数保持不变；变指条件改变时平衡可能移动并重新建立。②判断依据是正、逆相等，变量不变：速率必须是一个正反应速率和一个逆反应速率，且经过换算后用同一物质表示的消耗速率和生成速率相等；随反应进行而改变的物理量不变时即为平衡状态，随反应进行保持不变的量不能作为判断依据。③以mA(g)+nB(g)=pC(g)+qD(g)为例：各物质的量分数一定、单位时间内消耗m mol A的同时生成m mol A均达平衡；恒容时压强不再变化、混合气体的平均相对分子质量一定，在m+n≠p+q时达平衡，在m+n=p+q时不一定；恒容时混合气体的密度一定不一定达平衡；反应体系的颜色不变达平衡。④也可利用Q（浓度商）是否等于K进行判断。,恒容下密度等随反应进行恒定不变的量不能作判据；压强与平均相对分子质量只有在m+n≠p+q时才可作判据。,五三化学精讲册 P83
外界条件对化学平衡的影响,CONCEPT_EXPLANATION,改变条件对化学平衡的影响规律,浓度压强温度催化剂对平衡移动的影响及勒夏特列原理的分析流程,判断化学平衡的移动方向,①浓度：增大反应物浓度或减小生成物浓度，平衡正向移动；减小反应物浓度或增大生成物浓度，平衡逆向移动。②压强（对有气体参加的反应）：反应前后气体分子数不等时，增大压强平衡向气体分子数减小的方向移动，减小压强平衡向气体分子数增大的方向移动；反应前后气体分子数相等时，改变压强平衡不移动。③温度：升高温度平衡向吸热反应方向移动，降低温度平衡向放热反应方向移动。④催化剂：同等程度地改变v正、v逆，平衡不移动。⑤充入无关气体：恒温恒容时总压强增大，各组分浓度不变，反应速率不变，平衡不移动；恒温恒压时总体积增大，各组分浓度等比例减小，平衡向气体分子数增大的方向移动。⑥判断平衡移动方向的思维流程：先分析反应特点（是否有气体参加、是否有固体或纯液体参加、反应前后气体体积是否变化、反应是吸热还是放热），再分析反应容器特点（恒温恒容还是恒温恒压），最后根据勒夏特列原理从温度、压强、浓度三方面判断。,恒温恒容充入无关气体平衡不移动；气体分子数不变的反应改变压强时平衡不移动。,五三化学精讲册 P84
