node_slug,type,title,summary,applicability,content,boundary,note
物质的分类,CONCEPT_EXPLANATION,物质分类的树状与交叉分类法,按组成和性质逐级分类，并辨析类别判断中的「一定」与「不一定」,物质类别的判断与组成辨析,①树状分类法按从属关系逐级展开：物质先分为纯净物与混合物；纯净物再分为单质与化合物；化合物按组成与性质分为酸、碱、盐、氧化物等。②交叉分类法从不同角度对同一物质分类，如Na2CO3既是钠盐又是碳酸盐。③分类标准不同结论不同：按组成元素分为金属单质、非金属单质和稀有气体；按在水溶液中或熔融状态下能否导电分为电解质与非电解质；按构成微粒和化学键分为离子化合物与共价化合物。,碱性氧化物一定是金属氧化物，但金属氧化物不一定是碱性氧化物,五三化学精讲册 P0003（书内页码 1）
胶体,CONCEPT_EXPLANATION,胶体的性质与氢氧化铁胶体制备,胶体区别于其他分散系的本质是分散质粒子直径，丁达尔效应可用于鉴别,分散系分类与胶体性质判断,①组成上分散系由分散质和分散剂组成，按分散质粒子直径分为溶液、胶体和浊液，分界值为1 nm和100 nm；按分散剂状态胶体分为液溶胶、气溶胶和固溶胶。②本质特征：胶体粒子能透过滤纸但不能透过半透膜，这是胶体与其他分散系的本质区别。③性质与应用：丁达尔效应是胶体粒子对光的散射，用于鉴别溶液和胶体；电泳用于静电除尘；聚沉可通过加入电解质溶液、加入含带相反电荷胶粒的胶体、加热或搅拌实现，用于明矾净水和卤水点豆腐。④制备：将饱和FeCl3溶液滴入沸水中，继续加热至液体变为红褐色，Fe3+ + 3H2O =(Δ) Fe(OH)3(胶体) + 3H+。,胶粒不一定带电，如淀粉胶体中胶粒不带电；胶体本身呈电中性,五三化学精讲册 P0003（书内页码 1）
物理变化与化学变化的两种判断方法,MISCONCEPTION_GUIDE,物理变化与化学变化的判断方法,宏观看有无新物质生成，微观看有无化学键断裂与形成，并注意常见变化归类,物质变化类型的辨析与归类,①判断方法：宏观看是否有新物质生成；微观看是否有化学键的断裂和形成。只有化学键断裂（如NaCl熔化）或只有化学键形成，均不是化学变化；有新原子生成（核反应）属于非化学变化。②三馏：蒸馏、分馏属物理变化，干馏属化学变化。③三色：焰色试验属物理变化，显色反应、指示剂变色反应属化学变化。④五解：潮解属物理变化，分解、电解、水解、裂解属化学变化。⑤十七化：熔化、汽化、液化为物理变化；氢化、氧化、水化、风化、炭化、钝化、催化、皂化、歧化、卤化、硝化、酯化、裂化、油脂的硬化均为化学变化。,同素异形体之间的相互转化、CuSO4·5H2O的脱水、蛋白质变性、电解质溶液导电均属于化学变化,五三化学精讲册 P0004（书内页码 2）
阿伏加德罗定律及其推论,DERIVATION,阿伏加德罗定律及其三条推论,同温同压下相同体积的气体分子数相同，可导出体积比、密度比和压强比,气体体积、密度与压强的比较,①阿伏加德罗定律：同温同压下，相同体积的任何气体含有相同数目的分子，即物质的量相同。②注意：同温、同压、同体积的任何气体分子数相等，但各自的原子总数不一定相等。③推论一（同温同压）：气体的体积与其物质的量成正比，V1/V2 = n1/n2；气体的密度与其摩尔质量成正比，ρ1/ρ2 = M1/M2。④推论二（同温同体积）：气体的压强与其物质的量成正比，p1/p2 = n1/n2。⑤以上结论均可由理想气体状态方程pV = nRT及n = m/M、ρ = m/V导出。,气体摩尔体积22.4 L·mol-1的适用条件是标准状况即0 ℃、101 kPa下的气体,五三化学精讲册 P0009（书内页码 7）
电解质的电离,REPRESENTATION_GUIDE,电离方程式的书写规则,强电解质用等号、弱电解质用可逆号，多元弱酸分步写、多元弱碱一步写,电离方程式的书写与正误判断,①强弱电解质与符号：强电解质在水溶液中完全电离，电离方程式用等号连接；弱电解质在水溶液中部分电离，电离方程式用可逆号连接。②多元弱酸分步电离分步书写，如碳酸：H2CO3 ⇌ H+ + HCO3-（主）、HCO3- ⇌ H+ + CO32-（次）。③多元弱碱分步电离一步书写，如Fe(OH)3 ⇌ Fe3+ + 3OH-。④酸式盐的电离：强酸的酸式盐中酸式酸根离子完全电离，如NaHSO4 = Na+ + H+ + SO42-；弱酸的酸式盐中酸式酸根离子不完全电离，如NaHCO3 = Na+ + HCO3-。⑤熔融状态下NaHSO4 = Na+ + HSO4-。,单质和混合物既不是电解质也不是非电解质；SO2、CO2、NH3自身不电离，属于非电解质,五三化学精讲册 P0014（书内页码 12）
离子共存,MISCONCEPTION_GUIDE,离子大量共存的判断要点,先看题设条件，再查复分解、氧化还原、配合与相互促进的水解四类反应,离子共存题的条件辨析,①看条件：注意「一定能大量共存」「可能大量共存」「不能大量共存」等关键词语；指定溶液颜色时，「无色」意味着Fe3+、Fe2+、Cu2+、MnO4-等有色离子不能大量存在，且「透明」不等于「无色」。②看反应：复分解反应，如Ba2+与SO42-、NH4+与OH-、H+与CH3COO-；氧化还原反应，如Fe3+与I-、S2-，H+与NO3-组合与Fe2+；配合反应，如Fe3+与SCN-；相互促进的水解反应，如Al3+与CO32-、HCO3-、AlO2-、SiO32-。③特殊情况：ClO-在酸性、中性和碱性环境中都具有较强的氧化性；S2-与SO32-在碱性环境中可以大量共存，在酸性环境中发生归中反应而不能大量共存；Cl-和ClO-也存在类似情况。,NH4+与CH3COO-虽相互促进水解但水解程度仍较小，在溶液中可以大量共存,五三化学精讲册 P0014（书内页码 12）
离子方程式,METHOD_MODEL,离子方程式的书写与正误判断,按写、拆、删、查四步书写，并把握两易、两等、两查三个关键,离子方程式的书写与正误判断,①书写四步（以CaCO3与盐酸为例）：写，写出正确的化学方程式CaCO3 + 2HCl = CaCl2 + H2O + CO2↑；拆，把易溶且易完全电离的物质写成离子形式，其余用化学式；删，删去两边不参加反应的离子，得CaCO3 + 2H+ = Ca2+ + H2O + CO2↑；查，检查原子守恒和电荷守恒。②书写关键：两易指易溶且易完全电离的物质（强酸、强碱、大多数可溶性盐）拆成离子形式，其他物质用化学式表示；两等指离子方程式两边的原子个数、电荷数均应相等；两查指检查化学计量数是否约到最简、是否漏写必要的反应及条件。,微溶物处于溶液状态时拆写成离子形式，处于浊液或沉淀状态时写化学式,五三化学精讲册 P0015（书内页码 13）
配比型离子方程式的书写-少定多变法,METHOD_MODEL,与量有关离子方程式的书写方法,少量物质定为1 mol按组成配比书写，连续型分段写，竞争型按先后顺序写,与量有关的离子方程式书写,①配比型（少定多变法）：根据相对量把少量物质定为1 mol，若少量物质中有两种或两种以上离子参加反应，则参加反应的离子的物质的量之比与物质的组成之比相符。②示例：向Ca(HCO3)2溶液中加入过量NaOH溶液，少量物质Ca(HCO3)2拆出的离子为Ca2+和HCO3-，按组成配比补上过量物质充分反应所需的离子2OH-，得Ca2+ + 2HCO3- + 2OH- = CaCO3↓ + CO32- + 2H2O。③连续型：如H2S与NaOH溶液反应，NaOH不足时生成HS-，NaOH过量时继续反应生成S2-，总反应为H2S + 2OH- = S2- + 2H2O；CO2与NaOH、Na2CO3与盐酸同理。④竞争型：溶液中同时存在多个可能发生的反应且有先后顺序时，按反应的先后顺序书写；先后顺序不明确时可先假设，若生成物不和其他物质反应则假设正确，否则需调整顺序。,少量物质定为1 mol后，过量物质中参加反应的离子量由少量物质的组成决定，不能按过量物质自身的配比书写,五三化学精讲册 P0016（书内页码 14）
氧化还原反应,CONCEPT_EXPLANATION,氧化还原反应的本质与特征,本质是电子转移，特征是元素化合价变化，据此串联氧化剂与还原剂,氧化还原反应的概念辨析,①本质：电子转移，包括得失电子或共用电子对的偏移。②特征：反应过程中有元素化合价发生变化，这是判断氧化还原反应的依据。③概念关系：还原剂具有还原性，发生氧化反应（失电子、化合价升高、被氧化），生成氧化产物；氧化剂具有氧化性，发生还原反应（得电子、化合价降低、被还原），生成还原产物。④与四种基本反应类型的关系：置换反应一定是氧化还原反应；复分解反应一定不是氧化还原反应；有单质参加的化合反应和有单质生成的分解反应是氧化还原反应，其余化合反应和分解反应不一定是。,不是所有化合反应和分解反应都是氧化还原反应，如CaO + H2O = Ca(OH)2与CaCO3高温分解都不是氧化还原反应,五三化学精讲册 P0017（书内页码 15）
氧化性-还原性强弱的比较,METHOD_MODEL,氧化性与还原性强弱的比较方法,依据方程式、活动性顺序、周期表、反应条件与程度、浓度和酸碱度比较,氧化性还原性强弱的比较与排序,①依据反应方程式：还原剂 + 氧化剂 = 氧化产物 + 还原产物，氧化性为氧化剂大于氧化产物，还原性为还原剂大于还原产物。②依据金属、非金属的活动性顺序：金属性越强，金属单质的还原性越强；非金属性越强，非金属单质的氧化性越强。③依据元素周期表：同周期主族元素从左到右，单质还原性减弱、氧化性增强；同主族元素从上到下，单质还原性增强、氧化性减弱。④依据反应条件及反应的剧烈程度：条件要求越低、反应越剧烈，对应物质的氧化性或还原性越强，可由是否需要加热、反应温度高低、有无催化剂等方面比较。⑤依据反应程度：不同氧化剂作用于同一种还原剂时，氧化产物价态高的氧化剂氧化性强；不同还原剂作用于同一种氧化剂时，还原产物价态低的还原剂还原性强。⑥依据浓度、酸碱度：同一种物质浓度越大，氧化性或还原性越强；同一种氧化剂所处环境酸性越强，其氧化性一般越强。,决定物质氧化性、还原性强弱的因素是反应过程中电子转移的难易程度，而不是电子转移数目的多少,五三化学精讲册 P0018（书内页码 16）
