chunk_id,midx,node_slug,type,title,summary,applicability,content,boundary,note
4ba4052b22-009,,含铝物质的制备和转化,METHOD_MODEL,含铝物质的制备与转化,工业冶炼铝用电解熔融Al2O3；含铝物质经碱溶法或酸溶法除杂后得到Al(OH)3并灼烧制Al2O3。,铝土矿提铝与含铝物质转化流程,①工业冶炼铝：电解熔融Al2O3并加入冰晶石降低熔化温度；AlCl3是共价化合物，熔融状态不导电，不能通过电解AlCl3制铝。②碱溶法：用NaOH溶液溶解铝土矿，Al2O3转化为AlO2−，再通入CO2得到Al(OH)3沉淀，过滤、洗涤后灼烧得Al2O3。③酸溶法：用稀硫酸溶解后调节pH使Al(OH)3析出，同样灼烧得到Al2O3。④Al(OH)3受热分解：2Al(OH)3===Al2O3+3H2O。⑤向NaAlO2溶液中通入过量CO2生成Al(OH)3和NaHCO3，是实验室制备Al(OH)3的常用方法。,电解法炼铝的原料必须是Al2O3，不能用AlCl3，因其熔融不导电。,知识清单 专题03 铝及其重要化合物（教师版）
5cfa9e1433-008,,铝及其化合物的易错点,MISCONCEPTION_GUIDE,铝及其化合物易错点,铝钝化不等于不反应；铝与碱反应中氧化剂是水；铝热反应只适用于活动性弱于铝的金属氧化物。,铝的性质与铝热反应判断题,①常温下铝制容器能盛放浓硫酸、浓硝酸，原因是二者使铝钝化，而不是铝与它们不反应。②铝与稀硝酸反应生成的气体是NO而不是H2；投入含NH4+溶液的铝片上产生的气体是H2，不是氨气。③铝与碱溶液反应为2Al+2OH−+2H2O=2AlO2−+3H2↑，实质是铝先与水反应生成H2和Al(OH)3，Al(OH)3再溶于NaOH；反应中铝作还原剂、水作氧化剂，NaOH没有电子得失。④铝热反应是高温下的置换反应，只能与活动性弱于铝的金属氧化物反应，铝不能还原MgO，也不用于大量冶炼铁、铜。,铝与碱溶液反应时氧化剂是水而不是NaOH，NaOH只起溶解Al(OH)3的作用。,知识清单 专题03 铝及其重要化合物（学生版）
2b8a636a64-016,,对氧化物认识的几个误区,MISCONCEPTION_GUIDE,氧化物认识的常见误区,能与酸反应生成盐和水的氧化物不一定是碱性氧化物；Na2O2、Al2O3、Mn2O7等要按标准逐一判断。,物质分类中氧化物类别的判断,①误认为能与酸反应生成盐和水的氧化物就是碱性氧化物：Na2O2与酸反应还生成O2，属于过氧化物，不是碱性氧化物。②碱性氧化物一定是金属氧化物，但金属氧化物不一定是碱性氧化物，如Al2O3是两性氧化物，Mn2O7、CrO3是酸性氧化物。③非金属氧化物不一定是酸性氧化物，如CO、NO是不成盐氧化物；酸性氧化物也不一定是非金属氧化物，如Mn2O7。④某酸分子中含有n个氢原子不一定是n元酸，如CH3COOH是一元酸；NaH2PO2是正盐且溶液显碱性，说明H3PO2是一元弱酸。,判断氧化物类别要看反应产物与组成元素，不能只看能否与酸或碱反应。,知识清单 专题01 物质及其变化（学生版）
12d2586885-024,,电离方程式的-易错点,MISCONCEPTION_GUIDE,电离方程式书写易错点,电解质必须是自身电离的化合物；熔融时只破坏离子键；电离方程式区别于沉淀溶解平衡式。,强弱电解质判断与电离方程式书写,①判断电解质的关键是自身能否电离：CO2、NH3的水溶液能导电，但离子来自与水反应的产物，二者都是非电解质；金属铜能导电，但不是电解质。②熔融条件下电离只破坏离子键，不破坏共价键：NaHSO4(熔融)===Na++HSO4−，而在水溶液中为NaHSO4===Na++H++SO42−。③有水参与的反应不一定是水解反应：HS−+H2O⇌S2−+H3O+是电离，HS−+H2O⇌H2S+OH−才是水解。④要区分电离方程式与沉淀溶解平衡方程式：AgCl(s)===Ag++Cl−表示完全电离，AgCl(s)⇌Ag++Cl−表示沉淀溶解平衡。,电解质的强弱由内部结构决定，与其溶解度和溶液导电能力无关，如AgCl是强电解质。,知识清单 专题02 离子反应（学生版）
447c937000-016,,制作一个氢氧燃料电池,METHOD_MODEL,氢氧燃料电池的电极反应,氢氧燃料电池分酸碱介质；通燃料一极为负极、通O2一极为正极，按介质离子书写电极反应式。,燃料电池电极反应式书写与自制装置,①氢氧燃料电池是目前最成熟的燃料电池，按电解质分为酸性和碱性两类；通入H2的一极是负极，通入O2的一极是正极。②书写电极反应式先看介质：酸性(或传导H+的固体)介质用H+平衡电荷，碱性介质用OH−平衡电荷，熔融碳酸盐介质用CO32−，传导O2−的固体介质用O2−，同一种燃料在不同介质中产物形式不同。③可由介质中离子的移动方向判断正负极，并考虑该离子参与靠近一极的电极反应。④自制装置可用U形管盛1mol·L−1Na2SO4溶液、两根石墨棒作电极，先电解水得到体积比约1∶2的H2与O2，再组装成燃料电池。,不同介质中电极反应式的写法不同，碱性介质中不能用H+配平、产物中不能出现H+。,一轮 复习讲义 第02讲 原电池、化学电源（教师版）
c16f7b5af8-011,,镁及其化合物的难点释疑,CONCEPT_EXPLANATION,镁及其化合物难点释疑,Mg燃烧产物含Mg3N2与C；Mg(OH)2溶解度小于MgCO3；MgCl2·6H2O需在HCl气流中脱水。,镁及其化合物的性质与制备,①Mg在空气中燃烧所得固体主要是MgO，还含有少量Mg3N2和C(镁与CO2反应生成)。②Mg(OH)2是难溶于水的白色沉淀，常用NaOH溶液检验Mg2+。③Mg(OH)2的溶解度比MgCO3小，MgCO3水解生成Mg(OH)2：MgCO3+H2O⇌Mg(OH)2+CO2↑，故水垢的主要成分中含有Mg(OH)2而不是MgCO3。④由MgCl2·6H2O制取无水MgCl2必须在HCl气流中加热，以抑制MgCl2水解。⑤高温下镁能与O2、N2、CO2等反应，工业电解MgCl2得到的镁应在H2氛围中冷却；Mg3N2遇水剧烈反应生成Mg(OH)2并放出NH3，只能在干态下制取。,冶炼镁用电解熔融MgCl2，不能电解MgO；镁在冷的浓硫酸中不钝化。,知识清单 专题04 金属材料及金属矿物的开发利用（教师版）
d63da64959-036,,有关配合物的易混易错点,MISCONCEPTION_GUIDE,配合物易混易错点,配体要带电荷、配位原子须与中心离子直接相连、配位数按配位原子总数计算。,配合物的组成与结构分析,①确认配体要注意是否带电荷：[CoCl(NH3)5]Cl2的中心离子为Co3+，配体是Cl−和NH3，不能写成氯原子。②画配合物结构示意图时不考虑空间结构，但配体中的配位原子必须与中心原子(或离子)直接相连，如[Cu(NH3)4]2+中必须是N原子与Cu2+相连。③配位数是配位体中与中心原子(或离子)成键的配位原子总数：单齿配体时等于配体数目，双齿配体时等于配体数目的2倍。④与同种金属离子形成配位键时，配位原子的电负性越小，配位键越稳定，如电负性N<O，故[Cu(NH3)4]2+比[Cu(H2O)4]2+稳定。,含配位键的化合物不一定是配合物，如H3O+、NH4+；配合物中外界离子才能与AgNO3反应。,知识清单 专题03 化学键 分子结构与性质（学生版）
1d4b3bfdba-011,,有机物组成和结构的确定,METHOD_MODEL,有机物组成和结构的确定,元素分析定实验式，质谱定相对分子质量，红外光谱与核磁共振氢谱及X射线衍射确定结构。,有机物分子式与结构测定的综合题,①确定分子式：由元素分析得到实验式，再用质谱法测相对分子质量(相对分子质量等于最大质荷比)，结合实验式确定分子式。②质谱法用于测定有机分子的相对分子质量。③红外光谱主要用于确定分子中含有的化学键和官能团。④核磁共振氢谱用于判断氢原子的环境：吸收峰个数等于不同化学环境氢原子的种数，吸收峰面积之比等于不同化学环境氢原子的个数比。⑤X射线衍射经计算可获得键长、键角等数据，用于测定有机化合物的晶体结构。,红外光谱只能确定官能团的种类，不能确定官能团的数目和位置；同分异构体质谱最大质荷比相同。,知识清单 专题01 有机化合物的结构特点与研究方法（学生版）
a54083ac3c-014,,电离平衡中的7个易错点,MISCONCEPTION_GUIDE,电离平衡的七个易错点,平衡右移电离程度不一定增大；稀释时各离子浓度不一定都减小；电离常数只受温度影响。,弱电解质电离平衡的判断与计算,①电离平衡向正向移动，弱电解质的电离程度不一定增大：向醋酸溶液中加入少量冰醋酸，平衡右移但醋酸的电离程度减小。②加水稀释时溶液中离子浓度不一定都减小：氨水稀释时c(OH−)减小而c(H+)增大，稀醋酸稀释时c(OH−)增大。③由水电离出的c(H+)=1.0×10−13mol·L−1的溶液不一定呈碱性，也可能呈酸性。④电离平衡右移，电解质分子的浓度不一定减小，电离程度也不一定增大。⑤电离平衡常数与化学平衡常数一样，只与温度有关，与其他条件无关，故温度不变时稀释或改变浓度，Ka不变。,判断电离程度变化要结合稀释或加入同种电解质的具体情形，不能只看平衡移动方向。,知识清单 专题01 电离平衡（学生版）
6c2b1eeb5f-027,,酸-碱稀释时的两个误区,MISCONCEPTION_GUIDE,酸碱稀释的两个误区,无限稀释时pH只能接近7；弱酸弱碱每稀释10倍pH变化不足1个单位，所需水量更大。,溶液稀释后pH变化与图象判断,①不能正确理解酸、碱的无限稀释规律：常温下任何酸或碱溶液无限稀释时，溶液的pH都不可能大于7或小于7，只能接近7。②不能正确理解弱酸、弱碱的稀释规律：pH=y的强酸稀释10倍，pH增大1个单位(pH=y+1)，而pH=y的弱酸稀释10倍，pH增大不足1个单位(pH<y+1)；碱的情况相反，pH=x的弱碱稀释10倍，pH减小不足1个单位(pH>x−1)。③稀释后pH仍相等时，加水量是弱酸(或弱碱)大于强酸(或强碱)，因为稀释促进弱电解质继续电离。,弱酸稀释时电离平衡右移，但溶液pH仍增大，只是增幅小于强酸。,知识清单 专题02 水的电离和溶液的酸碱性（教师版）
